"",BBK01.OEAF18H,BBK01.OEAF18H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:26,
2002-01,0.262,
2002-04,0.264,
2002-07,0.294,
2002-10,0.307,
2003-01,0.341,
2003-04,0.364,
2003-07,0.333,
2003-10,0.214,
2004-01,0.257,
2004-04,0.277,
2004-07,0.385,
2004-10,0.177,
2005-01,0.221,
2005-04,0.211,
2005-07,0.188,
2005-10,0.165,
2006-01,0.276,
2006-04,0.347,
2006-07,0.320,
2006-10,0.182,
2007-01,0.203,
2007-04,0.178,
2007-07,0.166,
2007-10,0.161,
2008-01,0.159,
2008-04,0.190,
2008-07,0.196,
2008-10,0.194,
2009-01,0.221,
2009-04,0.170,
2009-07,0.153,
2009-10,0.138,
2010-01,0.137,
2010-04,0.122,
2010-07,0.141,
2010-10,0.138,
2011-01,0.147,
2011-04,0.137,
2011-07,0.131,
2011-10,0.150,
2012-01,0.170,
2012-04,0.171,
2012-07,0.306,
2012-10,0.145,
2013-01,0.137,
2013-04,0.149,
2013-07,0.142,
2013-10,0.154,
2014-01,0.130,
2014-04,0.125,
2014-07,0.131,
