"",BBK01.OEAH14Q,BBK01.OEAH14Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:02,
2002-01,1.458,
2002-04,1.408,
2002-07,1.440,
2002-10,1.408,
2003-01,1.548,
2003-04,1.477,
2003-07,1.479,
2003-10,1.427,
2004-01,1.354,
2004-04,1.219,
2004-07,1.215,
2004-10,1.217,
2005-01,1.170,
2005-04,1.102,
2005-07,1.103,
2005-10,1.129,
2006-01,1.134,
2006-04,1.157,
2006-07,1.162,
2006-10,1.197,
2007-01,1.238,
2007-04,1.219,
2007-07,1.237,
2007-10,1.266,
2008-01,1.035,
2008-04,1.026,
2008-07,1.045,
2008-10,1.073,
2009-01,1.046,
2009-04,1.025,
2009-07,1.025,
2009-10,1.048,
2010-01,1.025,
2010-04,1.005,
2010-07,1.011,
2010-10,1.011,
2011-01,1.003,
2011-04,0.992,
2011-07,0.988,
2011-10,1.009,
2012-01,0.977,
2012-04,0.969,
2012-07,0.991,
2012-10,0.979,
2013-01,1.044,
2013-04,1.023,
2013-07,0.606,
2013-10,0.686,
2014-01,0.734,
2014-04,0.706,
2014-07,0.713,
