"",BBK01.OEAC28U,BBK01.OEAC28U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:34,
2002-01,0.040,
2002-04,0.028,
2002-07,0.031,
2002-10,0.032,
2003-01,0.031,
2003-04,0.029,
2003-07,0.034,
2003-10,0.032,
2004-01,0.031,
2004-04,0.026,
2004-07,0.030,
2004-10,0.027,
2005-01,0.034,
2005-04,0.036,
2005-07,0.035,
2005-10,0.039,
2006-01,0.041,
2006-04,0.039,
2006-07,0.035,
2006-10,0.032,
2007-01,0.036,
2007-04,0.034,
2007-07,0.028,
2007-10,0.031,
2008-01,0.032,
2008-04,0.032,
2008-07,0.032,
2008-10,0.027,
2009-01,0.031,
2009-04,0.029,
2009-07,0.027,
2009-10,0.030,
2010-01,0.025,
2010-04,0.026,
2010-07,0.031,
2010-10,0.019,
2011-01,0.020,
2011-04,0.020,
2011-07,0.019,
2011-10,0.015,
2012-01,0.017,
2012-04,0.016,
2012-07,0.022,
2012-10,0.010,
2013-01,0.013,
2013-04,0.010,
2013-07,0.011,
2013-10,0.012,
2014-01,0.026,
2014-04,0.015,
2014-07,0.014,
