"",BBFN1.M.DE.N.1.L.ID.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ID.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Indonesia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:02,
1994-12,0.683,
1995-01,0.681,
1995-02,0.687,
1995-03,0.674,
1995-04,0.604,
1995-05,0.607,
1995-06,0.705,
1995-07,0.751,
1995-08,0.792,
1995-09,0.715,
1995-10,0.678,
1995-11,0.653,
1995-12,0.601,
1996-01,0.625,
1996-02,0.616,
1996-03,0.594,
1996-04,0.656,
1996-05,0.677,
1996-06,0.741,
1996-07,0.771,
1996-08,0.801,
1996-09,0.692,
1996-10,0.753,
1996-11,0.773,
1996-12,0.795,
1997-01,0.851,
1997-02,0.825,
1997-03,0.842,
1997-04,0.879,
1997-05,0.925,
1997-06,0.933,
1997-07,0.969,
1997-08,1.030,
1997-09,1.101,
1997-10,1.119,
1997-11,1.108,
1997-12,1.132,
1998-01,1.010,
1998-02,1.178,
1998-03,1.283,
1998-04,1.379,
1998-05,1.347,
1998-06,1.160,
1998-07,1.194,
1998-08,1.319,
1998-09,1.323,
1998-10,1.292,
1998-11,1.318,
1998-12,1.115,
1999-01,1.179,
1999-02,1.195,
1999-03,1.233,
1999-04,0.821,
1999-05,0.746,
1999-06,0.937,
1999-07,0.822,
1999-08,0.814,
1999-09,0.833,
1999-10,0.753,
1999-11,0.705,
1999-12,0.699,
2000-01,0.726,
2000-02,0.627,
2000-03,0.632,
2000-04,0.642,
2000-05,0.672,
2000-06,0.413,
2000-07,0.422,
2000-08,0.331,
2000-09,0.314,
2000-10,0.314,
2000-11,0.349,
2000-12,0.336,
2001-01,0.328,
2001-02,0.355,
2001-03,0.309,
2001-04,0.308,
2001-05,0.278,
2001-06,0.230,
2001-07,0.209,
2001-08,0.202,
2001-09,0.235,
2001-10,0.265,
2001-11,0.260,
2001-12,0.267,
2002-01,0.231,
2002-02,0.191,
2002-03,0.203,
2002-04,0.213,
2002-05,0.216,
2002-06,0.205,
2002-07,0.208,
2002-08,0.208,
2002-09,0.201,
2002-10,0.195,
2002-11,0.214,
2002-12,0.192,
2003-01,0.187,
2003-02,0.208,
2003-03,0.190,
2003-04,0.203,
2003-05,0.244,
2003-06,0.229,
2003-07,0.237,
2003-08,0.283,
2003-09,0.296,
2003-10,0.302,
2003-11,0.323,
2003-12,0.342,
2004-01,0.362,
2004-02,0.391,
2004-03,0.428,
2004-04,0.422,
2004-05,0.418,
2004-06,0.336,
2004-07,0.363,
2004-08,0.344,
2004-09,0.211,
2004-10,0.211,
2004-11,0.229,
2004-12,0.241,
2005-01,0.249,
2005-02,0.255,
2005-03,0.271,
2005-04,0.259,
2005-05,0.249,
2005-06,0.309,
2005-07,0.275,
2005-08,0.245,
2005-09,0.288,
2005-10,0.308,
2005-11,0.306,
2005-12,0.249,
2006-01,0.242,
2006-02,0.248,
2006-03,0.254,
2006-04,0.261,
2006-05,0.290,
2006-06,0.253,
2006-07,0.310,
2006-08,0.306,
2006-09,0.257,
2006-10,0.269,
2006-11,0.253,
2006-12,0.238,
2007-01,0.225,
2007-02,0.237,
2007-03,0.230,
2007-04,0.257,
2007-05,0.241,
2007-06,0.280,
2007-07,0.271,
2007-08,0.335,
2007-09,0.287,
2007-10,0.290,
2007-11,0.309,
2007-12,0.297,
2008-01,0.295,
2008-02,0.335,
2008-03,0.320,
2008-04,0.298,
2008-05,0.313,
2008-06,0.262,
2008-07,0.268,
2008-08,0.254,
2008-09,0.259,
2008-10,0.253,
2008-11,0.244,
2008-12,0.249,
2009-01,0.266,
2009-02,0.249,
2009-03,0.241,
2009-04,0.252,
2009-05,0.251,
2009-06,0.274,
2009-07,0.284,
2009-08,0.305,
2009-09,0.414,
2009-10,0.254,
2009-11,0.265,
2009-12,0.274,
2010-01,0.289,
2010-02,0.276,
2010-03,0.328,
2010-04,0.297,
2010-05,0.323,
2010-06,0.337,
2010-07,0.314,
2010-08,0.342,
2010-09,0.409,
2010-10,0.310,
2010-11,0.334,
2010-12,0.367,
2011-01,0.322,
2011-02,0.331,
2011-03,0.367,
2011-04,0.295,
2011-05,0.312,
2011-06,0.291,
2011-07,0.303,
2011-08,0.324,
2011-09,0.300,
2011-10,0.305,
2011-11,0.346,
2011-12,0.359,
2012-01,0.374,
2012-02,0.402,
2012-03,0.396,
2012-04,0.400,
2012-05,0.397,
2012-06,0.414,
2012-07,0.394,
2012-08,0.396,
2012-09,0.431,
2012-10,0.405,
2012-11,0.411,
2012-12,0.435,
2013-01,0.458,
2013-02,0.468,
2013-03,0.462,
2013-04,0.459,
2013-05,0.486,
2013-06,0.510,
2013-07,0.462,
2013-08,0.456,
2013-09,0.411,
2013-10,0.536,
2013-11,0.591,
2013-12,0.594,
2014-01,0.567,
2014-02,0.568,
2014-03,0.534,
2014-04,0.552,
2014-05,0.540,
2014-06,0.586,
2014-07,0.572,
2014-08,0.580,
2014-09,0.570,
2014-10,0.557,
2014-11,0.559,
2014-12,0.523,
