"",BBK01.OEAA19I,BBK01.OEAA19I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:12,
2002-01,12.339,
2002-04,10.578,
2002-07,10.614,
2002-10,9.762,
2003-01,9.065,
2003-04,9.308,
2003-07,9.221,
2003-10,8.481,
2004-01,8.184,
2004-04,8.406,
2004-07,8.460,
2004-10,7.758,
2005-01,7.745,
2005-04,7.605,
2005-07,7.753,
2005-10,6.929,
2006-01,7.576,
2006-04,7.089,
2006-07,7.590,
2006-10,7.303,
2007-01,6.540,
2007-04,6.513,
2007-07,6.432,
2007-10,8.373,
2008-01,10.368,
2008-04,10.328,
2008-07,11.884,
2008-10,9.919,
2009-01,10.429,
2009-04,10.869,
2009-07,10.561,
2009-10,11.703,
2010-01,11.847,
2010-04,11.416,
2010-07,7.903,
2010-10,9.343,
2011-01,9.739,
2011-04,11.265,
2011-07,13.357,
2011-10,8.861,
2012-01,12.842,
2012-04,13.872,
2012-07,11.825,
2012-10,8.410,
2013-01,9.401,
2013-04,12.024,
2013-07,4.584,
2013-10,4.853,
2014-01,5.311,
2014-04,5.219,
2014-07,4.595,
