"",BBFB1.Q.N.DE.F1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:04,
1991-01,389.231,
1991-04,525.719,
1991-07,413.049,
1991-10,512.924,
1992-01,470.100,
1992-04,508.353,
1992-07,454.993,
1992-10,502.199,
1993-01,407.871,
1993-04,393.283,
1993-07,433.960,
1993-10,356.778,
1994-01,321.112,
1994-04,379.031,
1994-07,359.174,
1994-10,320.936,
1995-01,421.363,
1995-04,507.749,
1995-07,452.640,
1995-10,408.864,
1996-01,311.892,
1996-04,293.129,
1996-07,330.627,
1996-10,334.236,
1997-01,429.068,
1997-04,319.575,
1997-07,339.497,
1997-10,403.745,
1998-01,292.616,
1998-04,301.391,
1998-07,320.399,
1998-10,340.643,
1999-01,357.495,
1999-04,378.462,
1999-07,413.740,
1999-10,397.385,
2000-01,411.449,
2000-04,456.777,
2000-07,414.016,
2000-10,455.964,
2001-01,410.104,
2001-04,323.411,
2001-07,297.810,
2001-10,247.145,
2002-01,298.592,
2002-04,323.328,
2002-07,380.844,
2002-10,374.700,
2003-01,365.854,
2003-04,357.094,
2003-07,415.471,
2003-10,360.521,
2004-01,584.509,
2004-04,584.579,
2004-07,580.599,
2004-10,623.844,
2005-01,537.895,
2005-04,651.208,
2005-07,797.570,
2005-10,837.940,
2006-01,710.727,
2006-04,604.187,
2006-07,470.288,
2006-10,463.107,
2007-01,508.197,
2007-04,494.428,
2007-07,499.029,
2007-10,397.507,
2008-01,475.195,
2008-04,377.954,
2008-07,346.366,
2008-10,401.889,
2009-01,391.512,
2009-04,377.137,
2009-07,385.702,
2009-10,401.052,
2010-01,492.396,
2010-04,512.376,
2010-07,515.002,
2010-10,540.144,
2011-01,48.814,
2011-04,-2.176,
2011-07,48.123,
2011-10,14.115,
2012-01,18.347,
2012-04,25.335,
2012-07,17.893,
2012-10,15.162,
2013-01,439.463,
2013-04,423.440,
2013-07,424.918,
2013-10,440.375,
2014-01,374.548,Provisional value
2014-04,381.999,Provisional value
2014-07,372.697,Provisional value
