"",BBK01.OEYL07O,BBK01.OEYL07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:20:34,
2002-01,0.012,
2002-04,0.012,
2002-07,0.011,
2002-10,0.009,
2003-01,0.009,
2003-04,0.009,
2003-07,0.008,
2003-10,0.009,
2004-01,0.008,
2004-04,0.008,
2004-07,0.008,
2004-10,0.008,
2005-01,0.007,
2005-04,0.007,
2005-07,0.007,
2005-10,0.007,
2006-01,0.006,
2006-04,0.006,
2006-07,0.006,
2006-10,0.006,
2007-01,0.005,
2007-04,0.005,
2007-07,0.005,
2007-10,0.005,
2008-01,0.005,
2008-04,0.004,
2008-07,0.003,
2008-10,0.003,
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,-,Nothing exists
2009-10,0.012,
2010-01,0.014,
2010-04,0.018,
2010-07,0.018,
2010-10,0.017,
2011-01,0.028,
2011-04,0.051,
2011-07,0.043,
2011-10,0.046,
2012-01,0.065,
2012-04,0.069,
2012-07,0.062,
2012-10,0.066,
2013-01,0.069,
2013-04,0.077,
2013-07,0.086,
2013-10,0.073,
2014-01,0.044,
2014-04,0.045,
2014-07,0.052,
