"",BBK01.OXA8P1,BBK01.OXA8P1_FLAGS
"","Consumer credit to domestic households and non-profit institutions serving households, traditionally securitised by banks (MFIs) in Germany also being the originator without removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:27,
2009-12,14.838,
2010-01,15.618,
2010-02,-,Nothing exists
2010-03,14.815,
2010-04,-,Nothing exists
2010-05,13.847,
2010-06,13.952,
2010-07,14.150,
2010-08,13.686,
2010-09,13.245,
2010-10,13.698,
2010-11,14.983,
2010-12,14.544,
2011-01,14.082,
2011-02,13.636,
2011-03,13.298,
2011-04,13.434,
2011-05,12.998,
2011-06,12.701,
2011-07,13.093,
2011-08,15.066,
2011-09,14.940,
2011-10,14.523,
2011-11,15.719,
2011-12,15.619,
2012-01,15.259,
2012-02,14.864,
2012-03,14.486,
2012-04,16.035,
2012-05,15.328,
2012-06,14.923,
2012-07,14.699,
2012-08,14.353,
2012-09,13.792,
2012-10,13.419,
2012-11,14.143,
2012-12,14.142,
2013-01,13.857,
2013-02,13.147,
2013-03,15.309,
2013-04,14.817,
2013-05,14.348,
2013-06,16.071,
2013-07,16.647,
2013-08,15.865,
2013-09,15.210,
2013-10,15.303,
2013-11,16.057,
2013-12,15.651,
2014-01,15.432,
2014-02,14.392,
2014-03,16.560,
2014-04,18.415,
2014-05,18.681,
2014-06,18.170,
2014-07,17.702,
2014-08,17.948,
2014-09,19.975,
2014-10,21.802,
2014-11,21.350,
2014-12,20.787,Provisional value
