"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F3.L._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.P.F3.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Long-term debt-securities / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:45,
1991-01,7698.660,
1991-02,9708.247,
1991-03,9666.454,
1991-04,10054.112,
1991-05,10482.108,
1991-06,8981.195,
1991-07,10728.161,
1991-08,10665.621,
1991-09,10289.316,
1991-10,13283.714,
1991-11,11223.488,
1991-12,11665.267,
1992-01,18331.702,
1992-02,19961.046,
1992-03,17661.243,
1992-04,14118.446,
1992-05,12401.013,
1992-06,15717.441,
1992-07,15189.255,
1992-08,12530.527,
1992-09,17164.892,
1992-10,18752.894,
1992-11,18604.139,
1992-12,15081.705,
1993-01,17401.028,
1993-02,25638.255,
1993-03,28870.859,
1993-04,21869.337,
1993-05,18128.593,
1993-06,20940.519,
1993-07,25967.997,
1993-08,24418.382,
1993-09,24084.790,
1993-10,26958.892,
1993-11,26527.335,
1993-12,20506.321,
1994-01,30001.102,
1994-02,24883.342,
1994-03,25455.881,
1994-04,16455.076,
1994-05,14815.413,
1994-06,18804.729,
1994-07,15977.646,
1994-08,13556.549,
1994-09,14609.172,
1994-10,16089.174,
1994-11,15339.976,
1994-12,17060.684,
1995-01,19213.149,
1995-02,19001.690,
1995-03,22706.608,
1995-04,18635.562,
1995-05,22307.001,
1995-06,23966.089,
1995-07,23937.238,
1995-08,24623.495,
1995-09,26102.987,
1995-10,21915.144,
1995-11,32283.202,
1995-12,25647.250,
1996-01,34031.757,
1996-02,37547.397,
1996-03,31348.716,
1996-04,30424.490,
1996-05,33263.981,
1996-06,23875.875,
1996-07,35856.440,
1996-08,26676.199,
1996-09,28638.932,
1996-10,41272.366,
1996-11,30060.011,
1996-12,29689.078,
1997-01,39354.847,
1997-02,38464.737,
1997-03,37788.730,
1997-04,34949.096,
1997-05,33855.862,
1997-06,40202.582,
1997-07,50004.070,
1997-08,45183.716,
1997-09,42179.444,
1997-10,52054.918,
1997-11,40954.856,
1997-12,44140.734,
1998-01,47157.458,
1998-02,63272.539,
1998-03,62792.022,
1998-04,55107.712,
1998-05,52766.383,
1998-06,61583.933,
1998-07,62478.227,
1998-08,72110.975,
1998-09,66251.674,
1998-10,69639.927,
1998-11,63763.314,
1998-12,54846.798,
1999-01,70431.451,
1999-02,66355.997,
1999-03,80884.647,
1999-04,74340.010,
1999-05,92837.193,
1999-06,90370.772,
1999-07,86261.292,
1999-08,68810.235,
1999-09,78639.443,
1999-10,74014.482,
1999-11,85500.227,
1999-12,63697.529,
2000-01,83790.417,
2000-02,85785.354,
2000-03,107115.053,
2000-04,78828.141,
2000-05,106933.933,
2000-06,102129.881,
2000-07,84923.647,
2000-08,92887.052,
2000-09,108073.079,
2000-10,110273.300,
2000-11,122764.372,
2000-12,115280.582,
2001-01,168757.546,
2001-02,150983.406,
2001-03,158441.812,
2001-04,126925.086,
2001-05,150713.425,
2001-06,142130.774,
2001-07,132371.101,
2001-08,123357.432,
2001-09,128631.082,
2001-10,159810.371,
2001-11,177525.937,
2001-12,104184.271,
2002-01,162015.651,
2002-02,131673.605,
2002-03,142937.618,
2002-04,129326.871,
2002-05,121961.468,
2002-06,114973.686,
2002-07,149241.548,
2002-08,136685.643,
2002-09,149080.367,
2002-10,176812.340,
2002-11,138224.894,
2002-12,119184.185,
2003-01,161305.279,
2003-02,131667.264,
2003-03,174506.553,
2003-04,136269.777,
2003-05,158801.760,
2003-06,157912.504,
2003-07,191272.772,
2003-08,142076.194,
2003-09,155620.682,
2003-10,152938.585,
2003-11,117114.840,
2003-12,111767.346,
2004-01,158090.957,
2004-02,144340.978,
2004-03,178491.576,
2004-04,158420.161,
2004-05,140269.809,
2004-06,132863.661,
2004-07,134552.832,
2004-08,137498.461,
2004-09,156828.830,
2004-10,157160.055,
2004-11,163309.770,
2004-12,149598.083,
2005-01,167348.388,
2005-02,160188.121,
2005-03,161030.404,
2005-04,143988.780,
2005-05,152701.362,
2005-06,185091.783,
2005-07,135897.625,
2005-08,116228.708,
2005-09,144955.947,
2005-10,155564.154,
2005-11,151372.016,
2005-12,135252.232,
2006-01,146238.341,
2006-02,144105.177,
2006-03,157522.717,
2006-04,128210.538,
2006-05,142394.492,
2006-06,128455.891,
2006-07,124095.626,
2006-08,115477.829,
2006-09,136588.879,
2006-10,140398.976,
2006-11,139073.531,
2006-12,116813.557,
2007-01,145198.548,
2007-02,128926.137,
2007-03,149154.801,
2007-04,121372.806,
2007-05,128824.589,
2007-06,152142.078,
2007-07,137794.524,
2007-08,121682.964,
2007-09,114392.406,
2007-10,130330.058,
2007-11,124268.721,
2007-12,93901.978,
2008-01,152421.078,
2008-02,137979.367,
2008-03,106273.905,
2008-04,117155.478,
2008-05,105023.275,
2008-06,111069.738,
2008-07,103960.013,
2008-08,74173.442,
2008-09,114437.831,
2008-10,105724.920,
2008-11,79753.796,
2008-12,82821.949,
2009-01,91084.246,
2009-02,95616.078,
2009-03,108487.010,
2009-04,105265.704,
2009-05,108487.597,
2009-06,99755.844,
2009-07,129123.438,
2009-08,86412.122,
2009-09,114815.569,
2009-10,121441.269,
2009-11,104898.212,
2009-12,92190.778,
2010-01,131719.176,
2010-02,137139.608,
2010-03,149856.498,
2010-04,135173.356,
2010-05,126716.531,
2010-06,124412.170,
2010-07,104849.895,
2010-08,96870.469,
2010-09,137931.981,
2010-10,110373.242,
2010-11,117004.428,
2010-12,80140.266,
2011-01,124033.583,
2011-02,128115.347,
2011-03,152030.111,
2011-04,119586.121,
2011-05,113564.406,
2011-06,137218.038,
2011-07,112099.931,
2011-08,108217.031,
2011-09,123731.828,
2011-10,99843.286,
2011-11,102091.784,
2011-12,82844.391,
2012-01,117110.001,
2012-02,138237.694,
2012-03,199632.451,
2012-04,169379.225,
2012-05,136029.219,
2012-06,134330.251,
2012-07,203578.271,
2012-08,111955.640,
2012-09,130442.378,
2012-10,140506.885,
2012-11,114774.425,
2012-12,159070.137,
2013-01,169958.990,
2013-02,149464.448,
2013-03,151553.181,
2013-04,159778.158,
2013-05,158251.000,
2013-06,143788.469,
2013-07,144626.223,
2013-08,105686.443,
2013-09,146260.370,
2013-10,167703.326,
2013-11,139968.981,
2013-12,114331.096,
2014-01,183853.319,
2014-02,173083.753,Provisional value
2014-03,184921.361,Provisional value
2014-04,168642.023,Provisional value
2014-05,186664.967,Provisional value
2014-06,161216.258,Provisional value
2014-07,150689.312,Provisional value
2014-08,105779.370,Provisional value
2014-09,158059.455,
2014-10,145494.668,
2014-11,123229.515,
2014-12,96167.079,Provisional value
