"",BBK01.OEHI08S,BBK01.OEHI08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:12,
2002-01,5.743,
2002-04,5.676,
2002-07,5.706,
2002-10,5.945,
2003-01,6.078,
2003-04,6.106,
2003-07,6.157,
2003-10,6.331,
2004-01,6.392,
2004-04,6.350,
2004-07,6.436,
2004-10,6.593,
2005-01,6.743,
2005-04,6.767,
2005-07,6.767,
2005-10,6.881,
2006-01,6.892,
2006-04,6.782,
2006-07,6.709,
2006-10,6.703,
2007-01,6.517,
2007-04,6.381,
2007-07,6.228,
2007-10,6.256,
2008-01,6.142,
2008-04,6.026,
2008-07,5.936,
2008-10,6.017,
2009-01,6.111,
2009-04,6.220,
2009-07,6.527,
2009-10,7.028,
2010-01,7.406,
2010-04,7.576,
2010-07,7.742,
2010-10,7.975,
2011-01,8.017,
2011-04,7.987,
2011-07,8.046,
2011-10,8.240,
2012-01,8.292,
2012-04,8.264,
2012-07,8.314,
2012-10,8.505,
2013-01,8.600,
2013-04,8.648,
2013-07,8.781,
2013-10,8.960,
2014-01,9.010,
2014-04,9.122,
2014-07,9.199,
