"",BBK01.OEAD03Q,BBK01.OEAD03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:13,
2002-01,0.152,
2002-04,0.153,
2002-07,0.157,
2002-10,0.156,
2003-01,0.141,
2003-04,0.133,
2003-07,0.134,
2003-10,0.127,
2004-01,0.119,
2004-04,0.121,
2004-07,0.119,
2004-10,0.155,
2005-01,0.161,
2005-04,0.154,
2005-07,0.155,
2005-10,0.155,
2006-01,0.162,
2006-04,0.161,
2006-07,0.158,
2006-10,0.151,
2007-01,0.161,
2007-04,0.146,
2007-07,0.166,
2007-10,0.166,
2008-01,0.128,
2008-04,0.126,
2008-07,0.121,
2008-10,0.124,
2009-01,0.114,
2009-04,0.110,
2009-07,0.103,
2009-10,0.103,
2010-01,0.103,
2010-04,0.100,
2010-07,0.099,
2010-10,0.095,
2011-01,0.104,
2011-04,0.099,
2011-07,0.094,
2011-10,0.091,
2012-01,0.105,
2012-04,0.106,
2012-07,0.101,
2012-10,0.114,
2013-01,0.121,
2013-04,0.114,
2013-07,0.108,
2013-10,0.093,
2014-01,0.087,
2014-04,0.083,
2014-07,0.085,
