"",BBK01.OEAH94Q,BBK01.OEAH94Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:31,
2002-01,0.053,
2002-04,0.052,
2002-07,0.052,
2002-10,0.052,
2003-01,0.050,
2003-04,0.049,
2003-07,0.048,
2003-10,0.047,
2004-01,0.077,
2004-04,0.043,
2004-07,0.043,
2004-10,0.043,
2005-01,0.027,
2005-04,0.026,
2005-07,0.025,
2005-10,0.025,
2006-01,0.020,
2006-04,0.018,
2006-07,0.018,
2006-10,0.018,
2007-01,0.013,
2007-04,0.018,
2007-07,0.018,
2007-10,0.018,
2008-01,0.018,
2008-04,0.018,
2008-07,0.018,
2008-10,0.018,
2009-01,0.018,
2009-04,0.018,
2009-07,0.018,
2009-10,0.018,
2010-01,0.020,
2010-04,0.021,
2010-07,0.078,
2010-10,0.098,
2011-01,0.098,
2011-04,0.099,
2011-07,0.098,
2011-10,0.097,
2012-01,0.097,
2012-04,0.097,
2012-07,0.097,
2012-10,0.096,
2013-01,0.095,
2013-04,0.089,
2013-07,0.089,
2013-10,0.089,
2014-01,0.058,
2014-04,0.058,
2014-07,0.034,
