"",BBK01.OEHI08G,BBK01.OEHI08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:08,
2002-01,29.129,
2002-04,29.112,
2002-07,29.116,
2002-10,29.995,
2003-01,30.314,
2003-04,30.774,
2003-07,31.079,
2003-10,31.482,
2004-01,31.940,
2004-04,32.292,
2004-07,32.286,
2004-10,32.538,
2005-01,32.989,
2005-04,32.705,
2005-07,32.860,
2005-10,33.034,
2006-01,32.784,
2006-04,32.182,
2006-07,31.369,
2006-10,29.826,
2007-01,28.645,
2007-04,27.859,
2007-07,27.284,
2007-10,26.708,
2008-01,26.403,
2008-04,25.959,
2008-07,25.154,
2008-10,24.684,
2009-01,25.709,
2009-04,27.424,
2009-07,28.812,
2009-10,29.672,
2010-01,30.438,
2010-04,31.368,
2010-07,32.122,
2010-10,32.514,
2011-01,33.183,
2011-04,33.868,
2011-07,33.667,
2011-10,33.748,
2012-01,33.662,
2012-04,33.664,
2012-07,33.775,
2012-10,33.757,
2013-01,33.811,
2013-04,33.843,
2013-07,34.011,
2013-10,34.231,
2014-01,34.460,
2014-04,35.404,
2014-07,35.404,
