"",BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:36,
1991-01,73.615,
1991-04,-496.157,
1991-07,209.308,
1991-10,12.740,
1992-01,-18.994,
1992-04,186.815,
1992-07,10.274,
1992-10,-109.631,
1993-01,-215.635,
1993-04,483.677,
1993-07,852.489,
1993-10,160.344,
1994-01,-462.216,
1994-04,-1327.628,
1994-07,324.292,
1994-10,417.526,
1995-01,-320.027,
1995-04,-520.201,
1995-07,-13.172,
1995-10,911.201,
1996-01,-869.747,
1996-04,-322.519,
1996-07,444.605,
1996-10,3178.579,
1997-01,1523.406,
1997-04,676.810,
1997-07,2319.172,
1997-10,648.845,
1998-01,708.679,
1998-04,2986.934,
1998-07,-6437.367,
1998-10,7724.467,
1999-01,-1724.551,
1999-04,3430.038,
1999-07,-2490.692,
1999-10,5492.305,
2000-01,2968.326,
2000-04,-184.545,
2000-07,5550.603,
2000-10,3334.750,
2001-01,-2599.241,
2001-04,-6319.622,
2001-07,7196.830,
2001-10,-2521.091,
2002-01,395.097,
2002-04,-1017.778,
2002-07,4422.375,
2002-10,-568.943,
2003-01,-2024.595,
2003-04,2756.371,
2003-07,794.101,
2003-10,1301.931,
2004-01,949.634,
2004-04,2498.492,
2004-07,-2606.833,
2004-10,3725.937,
2005-01,5119.867,
2005-04,3612.852,
2005-07,-2590.066,
2005-10,3048.313,
2006-01,5156.988,
2006-04,-3238.313,
2006-07,2164.517,
2006-10,-84.247,
2007-01,9268.747,
2007-04,11214.105,
2007-07,31952.109,
2007-10,29054.237,
2008-01,16448.473,
2008-04,16358.451,
2008-07,-63.800,
2008-10,-5281.589,
2009-01,-18070.303,
2009-04,54.635,
2009-07,7155.515,
2009-10,2247.293,
2010-01,2240.087,
2010-04,6184.788,
2010-07,6187.822,
2010-10,946.072,
2011-01,7060.167,
2011-04,6242.266,
2011-07,9346.294,
2011-10,6123.882,
2012-01,4197.016,
2012-04,9702.488,
2012-07,6544.337,
2012-10,5271.181,
2013-01,5227.181,
2013-04,3230.077,
2013-07,-29.363,
2013-10,4371.252,
2014-01,4985.649,Provisional value
2014-04,8001.087,Provisional value
2014-07,5706.980,Provisional value
2014-10,7691.410,Provisional value
