"",BBK01.OEYI01J,BBK01.OEYI01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:34,
2002-01,9.377,
2002-04,9.511,
2002-07,9.519,
2002-10,9.722,
2003-01,9.487,
2003-04,9.944,
2003-07,10.016,
2003-10,10.102,
2004-01,10.884,
2004-04,11.269,
2004-07,11.795,
2004-10,11.772,
2005-01,12.469,
2005-04,12.924,
2005-07,13.362,
2005-10,14.236,
2006-01,13.790,
2006-04,14.382,
2006-07,14.642,
2006-10,13.128,
2007-01,13.579,
2007-04,13.719,
2007-07,14.873,
2007-10,14.496,
2008-01,14.386,
2008-04,14.882,
2008-07,15.618,
2008-10,15.516,
2009-01,15.442,
2009-04,15.500,
2009-07,14.953,
2009-10,14.989,
2010-01,15.218,
2010-04,16.000,
2010-07,15.185,
2010-10,15.264,
2011-01,15.327,
2011-04,15.600,
2011-07,15.266,
2011-10,15.005,
2012-01,15.199,
2012-04,10.044,
2012-07,9.614,
2012-10,9.878,
2013-01,10.005,
2013-04,9.703,
2013-07,9.658,
2013-10,9.376,
2014-01,8.904,
2014-04,8.529,
2014-07,8.210,
