"",BBEX3.M.YER.EUR.CA.AB.A01,BBEX3.M.YER.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Yemen / EUR 1 = YER ... (selling),
unit,YER (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:22,
1999-01,163.47,
1999-02,161.56,
1999-03,161.60,
1999-04,165.53,
1999-05,166.15,
1999-06,166.20,
1999-07,171.72,
1999-08,168.58,
1999-09,169.74,
1999-10,170.33,
1999-11,162.14,
1999-12,161.36,
2000-01,157.24,
2000-02,155.35,
2000-03,154.60,
2000-04,147.22,
2000-05,149.80,
2000-06,148.55,
2000-07,148.90,
2000-08,145.43,
2000-09,144.60,
2000-10,138.72,
2000-11,138.04,
2000-12,153.00,
2001-01,152.34,
2001-02,151.99,
2001-03,147.71,
2001-04,148.93,
2001-05,143.86,
2001-06,144.95,
2001-07,147.98,
2001-08,154.93,
2001-09,156.52,
2001-10,154.58,
2001-11,151.93,
2001-12,153.58,
2002-01,150.04,
2002-02,151.09,
2002-03,151.75,
2002-04,157.32,
2002-05,162.62,
2002-06,174.43,
2002-07,173.06,
2002-08,173.72,
2002-09,172.37,
2002-10,174.30,
2002-11,176.55,
2002-12,186.87,
2003-01,198.05,
2003-02,196.10,
2003-03,198.30,
2003-04,203.24,
2003-05,216.08,
2003-06,210.40,
2003-07,211.90,
2003-08,202.13,
2003-09,210.87,
2003-10,215.43,
2003-11,219.65,
2003-12,230.55,
2004-01,232.49,
2004-02,230.49,
2004-03,225.45,
2004-04,219.64,
2004-05,225.75,
2004-06,224.31,
2004-07,222.98,
2004-08,222.41,
2004-09,228.00,
2004-10,236.80,
2004-11,246.48,
2004-12,253.74,
2005-01,243.59,
2005-02,248.59,
2005-03,244.58,
2005-04,247.31,
2005-05,241.05,
2005-06,232.49,
2005-07,234.55,
2005-08,235.58,
2005-09,232.89,
2005-10,234.48,
2005-11,228.30,
2005-12,231.61,
2006-01,236.68,
2006-02,232.79,
2006-03,235.61,
2006-04,248.38,
2006-05,253.05,
2006-06,248.24,
2006-07,252.47,
2006-08,253.89,
2006-09,253.13,
2006-10,252.99,
2006-11,260.44,
2006-12,261.16,
2007-01,257.42,
2007-02,261.79,
2007-03,264.92,
2007-04,271.62,
2007-05,268.66,
2007-06,268.18,
2007-07,272.28,
2007-08,271.39,comment
2007-09,284.21,
2007-10,287.04,
2007-11,293.69,
2007-12,294.04,
2008-01,295.08,
2008-02,300.52,
2008-03,315.68,
2008-04,310.99,
2008-05,311.41,
2008-06,315.70,
2008-07,311.84,
2008-08,293.35,
2008-09,293.45,
2008-10,254.69,
2008-11,257.76,
2008-12,282.02,
2009-01,261.86,
2009-02,254.63,
2009-03,264.34,
2009-04,264.91,
2009-05,283.92,
2009-06,284.52,
2009-07,291.43,
2009-08,293.26,
2009-09,299.03,
2009-10,303.35,
2009-11,308.13,
2009-12,297.46,
2010-01,294.61,
2010-02,293.46,
2010-03,300.66,
2010-04,301.00,
2010-05,277.19,
2010-06,276.69,
2010-07,313.38,
2010-08,273.80,
2010-09,291.50,
2010-10,298.81,
2010-11,283.36,
2010-12,282.99,
2011-01,291.03,
2011-02,294.39,
2011-03,302.65,
2011-04,316.63,
2011-05,307.51,
2011-06,310.11,
2011-07,307.86,
2011-08,310.03,
2011-09,291.45,
2011-10,299.42,
2011-11,285.64,
2011-12,277.09,
2012-01,281.99,
2012-02,288.29,
2012-03,285.36,
2012-04,283.40,
2012-05,264.95,
2012-06,270.73,
2012-07,263.78,
2012-08,269.67,
2012-09,276.92,
2012-10,279.07,
2012-11,278.07,
2012-12,283.69,
2013-01,289.85,
2013-02,282.48,
2013-03,275.53,
2013-04,281.80,
2013-05,276.03,
2013-06,279.63,
2013-07,284.94,
2013-08,287.51,
2013-09,290.60,
2013-10,295.30,
2013-11,292.15,
2013-12,295.11,
2014-01,293.50,
2014-02,295.31,
2014-03,295.57,
2014-04,296.73,
2014-05,292.49,
2014-06,293.17,
2014-07,290.57,
2014-08,282.23,
2014-09,272.79,
2014-10,270.75,
2014-11,268.80,
2014-12,260.88,
2015-01,242.16,
"","Source: Central Bank of Yemen, Sanaa.",
"",Comment on 2007-08: Exchange rate as of 1 September 2007.,
