"",BBK01.OECI08V,BBK01.OECI08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:12,
2002-01,1.086,
2002-04,0.740,
2002-07,0.742,
2002-10,0.812,
2003-01,0.823,
2003-04,0.793,
2003-07,0.847,
2003-10,0.846,
2004-01,0.826,
2004-04,1.259,
2004-07,1.348,
2004-10,1.387,
2005-01,2.832,
2005-04,2.796,
2005-07,2.756,
2005-10,2.690,
2006-01,2.624,
2006-04,2.565,
2006-07,2.489,
2006-10,2.451,
2007-01,2.459,
2007-04,2.404,
2007-07,2.319,
2007-10,2.330,
2008-01,2.286,
2008-04,2.305,
2008-07,2.228,
2008-10,2.204,
2009-01,2.253,
2009-04,2.304,
2009-07,2.366,
2009-10,2.442,
2010-01,2.532,
2010-04,2.465,
2010-07,2.484,
2010-10,2.492,
2011-01,2.433,
2011-04,2.384,
2011-07,2.381,
2011-10,2.383,
2012-01,2.608,
2012-04,2.568,
2012-07,2.602,
2012-10,2.691,
2013-01,2.660,
2013-04,2.636,
2013-07,2.599,
2013-10,2.624,
2014-01,2.609,
2014-04,2.572,
2014-07,2.592,
