"",BBK01.TUE371,BBK01.TUE371_FLAGS
"",Deposits of enterprises and households / With agreed maturities of up to 1 year / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:06,
1997-09,738655,
1997-10,754211,
1997-11,752367,
1997-12,749488,
1998-01,763851,
1998-02,767955,
1998-03,746676,
1998-04,763294,
1998-05,762148,
1998-06,753518,
1998-07,758132,
1998-08,754681,
1998-09,749280,
1998-10,756778,
1998-11,758102,
1998-12,770240,
1999-01,772194,
1999-02,758861,
1999-03,762271,
1999-04,762476,
1999-05,750111,
1999-06,725756,
1999-07,738061,
1999-08,739667,
1999-09,730202,
1999-10,744479,
1999-11,740778,
1999-12,753339,
2000-01,738815,
2000-02,751784,
2000-03,758157,
2000-04,767243,
2000-05,781765,
2000-06,783526,
2000-07,792879,
2000-08,824638,
2000-09,825030,
2000-10,839688,
2000-11,850632,
2000-12,857544,
2001-01,900162,
2001-02,913546,
2001-03,928276,
2001-04,930836,
2001-05,927996,
2001-06,924693,
2001-07,933708,
2001-08,949562,
2001-09,933430,
2001-10,938602,
2001-11,944168,
2001-12,952245,
2002-01,948301,
2002-02,946913,
2002-03,954569,
2002-04,959696,
2002-05,961324,
2002-06,938487,
2002-07,948241,
2002-08,959731,
2002-09,940977,
2002-10,964165,
2002-11,956794,
2002-12,947815,
2003-01,953137,
2003-02,952677,
2003-03,948335,
2003-04,961352,
2003-05,972420,
2003-06,940282,
2003-07,944511,
2003-08,951124,
2003-09,922368,
2003-10,934694,
2003-11,927385,
2003-12,924001,
2004-01,904406,
2004-02,899446,
2004-03,892217,
2004-04,894154,
2004-05,900471,
2004-06,875891,
2004-07,887009,
2004-08,892145,
2004-09,881151,
2004-10,906200,
2004-11,893710,
2004-12,924951,
2005-01,901476,
2005-02,899939,
2005-03,905348,
2005-04,922372,
2005-05,920275,
2005-06,909969,
2005-07,928923,
2005-08,939034,
2005-09,955466,
2005-10,967787,
2005-11,960626,
2005-12,998853,
2006-01,985212,
2006-02,1001657,
2006-03,1020332,
2006-04,1056287,
2006-05,1036204,
2006-06,1050182,
2006-07,1070697,
2006-08,1101592,
2006-09,1135570,
2006-10,1164443,
2006-11,1177396,
2006-12,1222373,
2007-01,1248749,
2007-02,1263079,
2007-03,1315998,
2007-04,1346188,
2007-05,1370719,
2007-06,1395773,
2007-07,1451813,
2007-08,1512634,
2007-09,1536599,
2007-10,1633864,
2007-11,1639657,
2007-12,1696095,
2008-01,1750285,
2008-02,1820310,
2008-03,1840727,
2008-04,1929097,
2008-05,1955628,
2008-06,1947460,
2008-07,2037741,
2008-08,2087278,
2008-09,2087857,
2008-10,2158382,
2008-11,2171288,
2008-12,2158763,
2009-01,2047555,
2009-02,2004104,
2009-03,1961988,
2009-04,1945793,
2009-05,1900805,
2009-06,1842661,
2009-07,1801203,
2009-08,1759600,
2009-09,1701443,
2009-10,1654906,
2009-11,1605374,
2009-12,1590921,
2010-01,1521577,
2010-02,1499905,
2010-03,1483102,
2010-04,1449802,
2010-05,1441967,
2010-06,1423675,
2010-07,1435765,
2010-08,1455052,
2010-09,1456068,
2010-10,1474491,
2010-11,1463288,
2010-12,1466323,
2011-01,1446668,
2011-02,1455243,
2011-03,1450587,
2011-04,1453091,
2011-05,1452156,
2011-06,1424110,
2011-07,1437354,
2011-08,1448374,
2011-09,1463675,
2011-10,1458359,
2011-11,1437632,
2011-12,1446845,
2012-01,1445089,
2012-02,1464063,
2012-03,1469068,
2012-04,1468789,
2012-05,1440014,
2012-06,1411458,
2012-07,1405181,
2012-08,1391495,
2012-09,1390262,
2012-10,1405493,
2012-11,1386142,
2012-12,1392685,
2013-01,1380261,
2013-02,1367290,
2013-03,1357083,
2013-04,1320253,
2013-05,1285277,
2013-06,1256111,
2013-07,1243049,
2013-08,1241318,
2013-09,1212320,
2013-10,1193024,
2013-11,1162406,
2013-12,1153566,
2014-01,1132058,
2014-02,1129095,
2014-03,1128956,
2014-04,1124336,
2014-05,1121433,
2014-06,1104409,
2014-07,1115333,
2014-08,1124008,
2014-09,1114961,
2014-10,1109405,
2014-11,1099737,
2014-12,1090121,
2015-01,1074318,
