"",BBFN1.M.DE.N.1.L.IT.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IT.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Italy,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:01,
1994-07,1.780,
1994-08,1.628,
1994-09,1.810,
1994-10,1.887,
1994-11,1.936,
1994-12,2.136,
1995-01,2.050,
1995-02,2.111,
1995-03,2.203,
1995-04,2.179,
1995-05,2.233,
1995-06,2.293,
1995-07,2.419,
1995-08,2.128,
1995-09,2.230,
1995-10,2.313,
1995-11,2.391,
1995-12,2.172,
1996-01,2.036,
1996-02,1.994,
1996-03,2.118,
1996-04,2.142,
1996-05,2.130,
1996-06,2.130,
1996-07,2.217,
1996-08,1.782,
1996-09,2.008,
1996-10,2.074,
1996-11,2.080,
1996-12,2.114,
1997-01,2.049,
1997-02,2.053,
1997-03,2.117,
1997-04,2.149,
1997-05,2.293,
1997-06,2.270,
1997-07,2.306,
1997-08,1.939,
1997-09,2.184,
1997-10,2.388,
1997-11,2.325,
1997-12,2.361,
1998-01,2.146,
1998-02,2.328,
1998-03,2.475,
1998-04,2.450,
1998-05,2.519,
1998-06,2.618,
1998-07,2.623,
1998-08,2.227,
1998-09,2.430,
1998-10,2.524,
1998-11,2.492,
1998-12,2.508,
1999-01,2.305,
1999-02,2.336,
1999-03,2.565,
1999-04,2.766,
1999-05,2.838,
1999-06,2.615,
1999-07,2.673,
1999-08,2.314,
1999-09,2.566,
1999-10,2.612,
1999-11,2.637,
1999-12,2.598,
2000-01,2.473,
2000-02,2.698,
2000-03,2.865,
2000-04,2.796,
2000-05,2.821,
2000-06,2.897,
2000-07,2.941,
2000-08,2.524,
2000-09,2.814,
2000-10,2.899,
2000-11,2.791,
2000-12,2.971,
2001-01,2.961,
2001-02,2.989,
2001-03,3.154,
2001-04,3.061,
2001-05,3.136,
2001-06,3.190,
2001-07,3.077,
2001-08,2.792,
2001-09,2.994,
2001-10,3.086,
2001-11,3.046,
2001-12,3.215,
2002-01,2.993,
2002-02,3.062,
2002-03,2.729,
2002-04,2.665,
2002-05,2.751,
2002-06,2.792,
2002-07,2.728,
2002-08,2.376,
2002-09,2.785,
2002-10,2.743,
2002-11,2.770,
2002-12,2.730,
2003-01,2.518,
2003-02,2.597,
2003-03,2.775,
2003-04,2.797,
2003-05,2.819,
2003-06,2.952,
2003-07,2.935,
2003-08,2.521,
2003-09,2.703,
2003-10,2.828,
2003-11,2.791,
2003-12,3.000,
2004-01,2.810,
2004-02,2.689,
2004-03,2.946,
2004-04,2.853,
2004-05,3.005,
2004-06,3.115,
2004-07,3.014,
2004-08,2.779,
2004-09,3.169,
2004-10,3.188,
2004-11,3.259,
2004-12,3.483,
2005-01,2.934,
2005-02,2.893,
2005-03,3.109,
2005-04,3.061,
2005-05,3.080,
2005-06,3.279,
2005-07,3.191,
2005-08,2.801,
2005-09,2.987,
2005-10,3.071,
2005-11,2.966,
2005-12,3.207,
2006-01,2.875,
2006-02,3.053,
2006-03,3.287,
2006-04,3.165,
2006-05,3.229,
2006-06,3.241,
2006-07,3.264,
2006-08,2.905,
2006-09,3.202,
2006-10,3.279,
2006-11,3.482,
2006-12,3.495,
2007-01,3.200,
2007-02,3.562,
2007-03,3.789,
2007-04,3.675,
2007-05,3.717,
2007-06,3.998,
2007-07,3.930,
2007-08,3.544,
2007-09,3.927,
2007-10,4.241,
2007-11,4.298,
2007-12,4.003,
2008-01,4.174,
2008-02,3.956,
2008-03,4.070,
2008-04,3.961,
2008-05,4.035,
2008-06,4.104,
2008-07,4.233,
2008-08,3.579,
2008-09,3.996,
2008-10,4.015,
2008-11,3.934,
2008-12,3.902,
2009-01,3.516,
2009-02,3.570,
2009-03,3.909,
2009-04,3.413,
2009-05,3.213,
2009-06,3.293,
2009-07,3.375,
2009-08,2.988,
2009-09,3.369,
2009-10,3.091,
2009-11,3.108,
2009-12,3.163,
2010-01,2.888,
2010-02,2.985,
2010-03,3.286,
2010-04,3.254,
2010-05,3.282,
2010-06,3.433,
2010-07,3.445,
2010-08,3.026,
2010-09,3.388,
2010-10,3.445,
2010-11,3.580,
2010-12,3.504,
2011-01,3.326,
2011-02,3.467,
2011-03,3.843,
2011-04,3.852,
2011-05,3.688,
2011-06,3.700,
2011-07,3.818,
2011-08,3.459,
2011-09,3.737,
2011-10,3.657,
2011-11,4.203,
2011-12,4.784,
2012-01,4.326,
2012-02,4.329,
2012-03,4.906,
2012-04,4.706,
2012-05,5.081,
2012-06,4.058,
2012-07,4.061,
2012-08,3.537,
2012-09,3.752,
2012-10,3.884,
2012-11,3.801,
2012-12,3.748,
2013-01,3.492,
2013-02,3.612,
2013-03,3.923,
2013-04,3.535,
2013-05,3.594,
2013-06,3.771,
2013-07,3.645,
2013-08,3.262,
2013-09,3.466,
2013-10,3.655,
2013-11,3.981,
2013-12,3.728,
2014-01,3.393,
2014-02,3.602,
2014-03,4.032,
2014-04,3.993,
2014-05,3.735,
2014-06,4.255,
2014-07,4.855,
2014-08,3.853,
2014-09,4.262,
2014-10,4.275,
2014-11,4.452,
2014-12,4.275,
