"",BBK01.OEXI06I,BBK01.OEXI06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:01,
2002-01,0.729,
2002-04,0.732,
2002-07,0.727,
2002-10,0.729,
2003-01,0.699,
2003-04,0.685,
2003-07,0.638,
2003-10,0.621,
2004-01,0.632,
2004-04,0.625,
2004-07,0.611,
2004-10,0.575,
2005-01,0.581,
2005-04,0.565,
2005-07,0.555,
2005-10,0.533,
2006-01,0.524,
2006-04,0.524,
2006-07,0.542,
2006-10,0.533,
2007-01,0.900,
2007-04,1.016,
2007-07,1.047,
2007-10,1.712,
2008-01,1.904,
2008-04,2.113,
2008-07,2.254,
2008-10,2.386,
2009-01,2.701,
2009-04,2.646,
2009-07,2.557,
2009-10,2.633,
2010-01,2.978,
2010-04,3.371,
2010-07,3.483,
2010-10,0.962,
2011-01,1.011,
2011-04,1.088,
2011-07,1.127,
2011-10,1.099,
2012-01,1.046,
2012-04,1.061,
2012-07,1.045,
2012-10,0.986,
2013-01,0.870,
2013-04,0.741,
2013-07,0.768,
2013-10,0.774,
2014-01,0.896,
2014-04,0.920,
2014-07,1.044,
