"",BBK01.OEAA54O,BBK01.OEAA54O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:46,
2002-01,1.492,
2002-04,1.475,
2002-07,1.643,
2002-10,1.634,
2003-01,1.562,
2003-04,1.503,
2003-07,1.567,
2003-10,1.624,
2004-01,1.478,
2004-04,1.231,
2004-07,1.146,
2004-10,0.288,
2005-01,1.177,
2005-04,1.216,
2005-07,0.972,
2005-10,1.174,
2006-01,1.458,
2006-04,1.614,
2006-07,1.488,
2006-10,1.514,
2007-01,1.715,
2007-04,1.931,
2007-07,2.447,
2007-10,2.771,
2008-01,3.030,
2008-04,3.356,
2008-07,3.235,
2008-10,2.765,
2009-01,3.128,
2009-04,3.340,
2009-07,3.735,
2009-10,4.392,
2010-01,4.270,
2010-04,4.068,
2010-07,3.764,
2010-10,3.696,
2011-01,3.652,
2011-04,3.399,
2011-07,3.600,
2011-10,3.615,
2012-01,3.348,
2012-04,3.130,
2012-07,2.841,
2012-10,2.603,
2013-01,2.735,
2013-04,2.423,
2013-07,2.579,
2013-10,2.270,
2014-01,2.282,
2014-04,2.203,
2014-07,2.159,
