"",BBK01.OEAH62V,BBK01.OEAH62V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:07,
2002-01,0.060,
2002-04,0.063,
2002-07,0.060,
2002-10,0.080,
2003-01,0.075,
2003-04,0.068,
2003-07,0.071,
2003-10,0.075,
2004-01,0.075,
2004-04,0.072,
2004-07,0.068,
2004-10,0.068,
2005-01,0.112,
2005-04,0.108,
2005-07,0.106,
2005-10,0.114,
2006-01,0.120,
2006-04,0.129,
2006-07,0.124,
2006-10,0.119,
2007-01,0.129,
2007-04,0.143,
2007-07,0.154,
2007-10,0.217,
2008-01,0.250,
2008-04,0.263,
2008-07,0.279,
2008-10,0.271,
2009-01,0.262,
2009-04,0.260,
2009-07,0.246,
2009-10,0.223,
2010-01,0.195,
2010-04,0.185,
2010-07,0.177,
2010-10,0.173,
2011-01,0.169,
2011-04,0.166,
2011-07,0.155,
2011-10,0.191,
2012-01,0.206,
2012-04,0.202,
2012-07,0.182,
2012-10,0.142,
2013-01,0.128,
2013-04,0.117,
2013-07,0.100,
2013-10,0.094,
2014-01,0.085,
2014-04,0.073,
2014-07,0.073,
