"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.NL.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.NL.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Netherlands,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:34,
2009-09,8509,
2009-10,8402,
2009-11,7995,
2009-12,8914,
2010-01,8776,
2010-02,8733,
2010-03,9463,
2010-04,9700,
2010-05,9365,
2010-06,9441,
2010-07,9643,
2010-08,9180,
2010-09,9588,
2010-10,9804,
2010-11,9663,
2010-12,10362,
2011-01,10552,
2011-02,10649,
2011-03,10623,
2011-04,10415,
2011-05,10279,
2011-06,10038,
2011-07,9797,
2011-08,8599,
2011-09,8284,
2011-10,8750,
2011-11,8527,
2011-12,8776,
2012-01,8753,
2012-02,8754,
2012-03,8755,
2012-04,8463,
2012-05,8049,
2012-06,8431,
2012-07,8956,
2012-08,8935,
2012-09,8839,
2012-10,9096,
2012-11,9140,
2012-12,9462,
2013-01,9970,
2013-02,9675,
2013-03,10064,
2013-04,10627,
2013-05,11254,
2013-06,10975,
2013-07,11730,
2013-08,11562,
2013-09,11944,
2013-10,12415,
2013-11,12624,
2013-12,12715,
2014-01,12179,
2014-02,12520,
2014-03,12537,
2014-04,12149,
2014-05,12464,
2014-06,12495,
2014-07,12031,
2014-08,12277,
2014-09,12564,
2014-10,12268,
2014-11,12764,
