"",BBK01.PC3779,BBK01.PC3779_FLAGS
"",Lending to other services / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:34:06,
1989-01,.,No value available
1989-04,.,No value available
1989-07,0.646,
1989-10,0.562,
1990-01,0.770,
1990-04,0.809,
1990-07,0.874,
1990-10,0.895,
1991-01,0.920,
1991-04,0.953,
1991-07,0.995,
1991-10,1.005,
1992-01,1.053,
1992-04,1.115,
1992-07,1.047,
1992-10,1.768,
1993-01,1.655,
1993-04,1.852,
1993-07,2.049,
1993-10,1.846,
1994-01,2.246,
1994-04,2.418,
1994-07,2.672,
1994-10,2.626,
1995-01,2.210,
1995-04,2.053,
1995-07,1.989,
1995-10,2.065,
1996-01,2.153,
1996-04,2.205,
1996-07,2.251,
1996-10,2.364,
1997-01,2.233,
1997-04,2.604,
1997-07,2.489,
1997-10,2.428,
1998-01,2.421,
1998-04,2.448,
1998-07,2.579,
1998-10,2.862,
1999-01,2.331,
1999-04,2.135,
1999-07,2.098,
1999-10,2.294,
2000-01,2.571,
2000-04,2.731,
2000-07,2.551,
2000-10,3.129,
2001-01,3.127,
2001-04,3.332,
2001-07,3.473,
2001-10,2.717,
2002-01,2.896,
2002-04,3.697,
2002-07,3.513,
2002-10,3.547,
2003-01,3.637,
2003-04,3.727,
2003-07,3.506,
2003-10,4.077,
2004-01,4.093,
2004-04,4.195,
2004-07,4.589,
2004-10,4.417,
2005-01,4.847,
2005-04,5.136,
2005-07,5.619,
2005-10,8.631,
2006-01,9.752,
2006-04,9.593,
2006-07,9.633,
2006-10,9.664,
2007-01,9.766,
2007-04,9.137,
2007-07,10.283,
2007-10,11.208,
2008-01,11.689,
2008-04,11.886,
2008-07,11.600,
2008-10,10.508,
2009-01,8.652,
2009-04,6.113,
2009-07,5.602,
2009-10,5.827,
2010-01,5.480,
2010-04,5.691,
2010-07,5.928,
2010-10,5.656,
2011-01,5.747,
2011-04,5.530,
2011-07,6.156,
2011-10,6.014,
2012-01,6.364,
2012-04,6.250,
2012-07,7.018,
2012-10,6.587,
2013-01,6.441,
2013-04,5.974,
2013-07,6.042,
2013-10,5.997,
2014-01,5.871,
2014-04,4.475,
2014-07,4.584,
2014-10,4.175,
