"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.US.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.US.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / United States / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:43,
2009-09,556,
2009-10,539,
2009-11,551,
2009-12,592,
2010-01,654,
2010-02,680,
2010-03,656,
2010-04,694,
2010-05,797,
2010-06,865,
2010-07,811,
2010-08,866,
2010-09,835,
2010-10,838,
2010-11,881,
2010-12,822,
2011-01,819,
2011-02,840,
2011-03,838,
2011-04,755,
2011-05,778,
2011-06,765,
2011-07,792,
2011-08,781,
2011-09,889,
2011-10,843,
2011-11,932,
2011-12,1016,
2012-01,1006,
2012-02,1014,
2012-03,1009,
2012-04,1054,
2012-05,1155,
2012-06,1121,
2012-07,1142,
2012-08,1141,
2012-09,1087,
2012-10,1073,
2012-11,1060,
2012-12,1071,
2013-01,1003,
2013-02,1059,
2013-03,1107,
2013-04,1091,
2013-05,1092,
2013-06,1150,
2013-07,1157,
2013-08,1210,
2013-09,1131,
2013-10,1095,
2013-11,1010,
2013-12,986,
2014-01,1117,
2014-02,1121,
2014-03,1020,
2014-04,989,
2014-05,1026,
2014-06,1106,
2014-07,1105,
2014-08,1098,
2014-09,1232,
2014-10,1213,
2014-11,1268,
