"",BBK01.OEHB24S,BBK01.OEHB24S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:18,
2002-01,0.319,
2002-04,0.322,
2002-07,0.333,
2002-10,0.325,
2003-01,0.325,
2003-04,0.326,
2003-07,0.331,
2003-10,0.339,
2004-01,0.365,
2004-04,0.370,
2004-07,0.379,
2004-10,0.379,
2005-01,0.384,
2005-04,0.399,
2005-07,0.420,
2005-10,0.428,
2006-01,0.432,
2006-04,0.428,
2006-07,0.435,
2006-10,0.456,
2007-01,0.452,
2007-04,0.457,
2007-07,0.453,
2007-10,0.439,
2008-01,0.438,
2008-04,0.541,
2008-07,0.631,
2008-10,0.616,
2009-01,0.625,
2009-04,0.673,
2009-07,0.670,
2009-10,0.665,
2010-01,0.774,
2010-04,1.048,
2010-07,1.104,
2010-10,1.158,
2011-01,1.260,
2011-04,1.256,
2011-07,1.316,
2011-10,1.368,
2012-01,1.401,
2012-04,1.361,
2012-07,1.397,
2012-10,1.394,
2013-01,1.417,
2013-04,1.377,
2013-07,1.401,
2013-10,1.406,
2014-01,1.427,
2014-04,1.426,
2014-07,1.465,
