"",BBK01.OECB17V,BBK01.OECB17V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:26,
2002-01,1.812,
2002-04,1.790,
2002-07,1.764,
2002-10,1.703,
2003-01,1.675,
2003-04,1.652,
2003-07,1.631,
2003-10,1.588,
2004-01,1.554,
2004-04,1.753,
2004-07,1.734,
2004-10,1.695,
2005-01,2.444,
2005-04,2.475,
2005-07,2.512,
2005-10,2.530,
2006-01,2.551,
2006-04,2.587,
2006-07,2.626,
2006-10,2.657,
2007-01,2.678,
2007-04,2.793,
2007-07,2.783,
2007-10,2.771,
2008-01,2.770,
2008-04,2.779,
2008-07,2.814,
2008-10,2.813,
2009-01,2.796,
2009-04,3.821,
2009-07,3.757,
2009-10,3.685,
2010-01,3.646,
2010-04,3.606,
2010-07,3.275,
2010-10,3.223,
2011-01,3.331,
2011-04,3.314,
2011-07,3.351,
2011-10,3.319,
2012-01,3.336,
2012-04,3.346,
2012-07,3.393,
2012-10,3.418,
2013-01,3.449,
2013-04,3.480,
2013-07,3.514,
2013-10,3.622,
2014-01,3.671,
2014-04,3.744,
2014-07,3.761,
