"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CH.00013.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CH.00013.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Switzerland / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:20,
2009-09,178,
2009-10,177,
2009-11,178,
2009-12,176,
2010-01,92,
2010-02,93,
2010-03,98,
2010-04,97,
2010-05,98,
2010-06,107,
2010-07,104,
2010-08,73,
2010-09,77,
2010-10,75,
2010-11,20,
2010-12,22,
2011-01,21,
2011-02,34,
2011-03,46,
2011-04,48,
2011-05,55,
2011-06,68,
2011-07,73,
2011-08,71,
2011-09,92,
2011-10,72,
2011-11,85,
2011-12,93,
2012-01,141,
2012-02,140,
2012-03,140,
2012-04,150,
2012-05,164,
2012-06,168,
2012-07,170,
2012-08,114,
2012-09,101,
2012-10,101,
2012-11,102,
2012-12,110,
2013-01,105,
2013-02,106,
2013-03,100,
2013-04,100,
2013-05,101,
2013-06,105,
2013-07,112,
2013-08,111,
2013-09,112,
2013-10,111,
2013-11,120,
2013-12,143,
2014-01,152,
2014-02,153,
2014-03,143,
2014-04,143,
2014-05,161,
2014-06,162,
2014-07,169,
2014-08,186,
2014-09,185,
2014-10,191,
2014-11,192,
