"",BBFN1.M.DE.N.1.L.G9.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.G9.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:26,
1995-01,7.254,
1995-02,7.316,
1995-03,7.327,
1995-04,7.348,
1995-05,7.063,
1995-06,7.026,
1995-07,6.988,
1995-08,7.282,
1995-09,6.908,
1995-10,7.199,
1995-11,7.258,
1995-12,6.939,
1996-01,6.691,
1996-02,6.635,
1996-03,6.576,
1996-04,6.492,
1996-05,6.396,
1996-06,6.386,
1996-07,6.700,
1996-08,6.536,
1996-09,6.693,
1996-10,6.613,
1996-11,6.553,
1996-12,6.550,
1997-01,6.589,
1997-02,6.431,
1997-03,6.056,
1997-04,5.670,
1997-05,5.605,
1997-06,5.652,
1997-07,5.661,
1997-08,5.700,
1997-09,5.674,
1997-10,5.723,
1997-11,5.836,
1997-12,5.979,
1998-01,6.147,
1998-02,6.214,
1998-03,6.185,
1998-04,6.215,
1998-05,6.192,
1998-06,6.355,
1998-07,6.020,
1998-08,6.094,
1998-09,5.715,
1998-10,5.678,
1998-11,5.593,
1998-12,6.161,
1999-01,6.208,
1999-02,6.165,
1999-03,6.359,
1999-04,6.598,
1999-05,6.544,
1999-06,6.536,
1999-07,6.579,
1999-08,7.094,
1999-09,6.966,
1999-10,7.915,
1999-11,7.897,
1999-12,7.767,
2000-01,7.886,
2000-02,7.932,
2000-03,7.822,
2000-04,10.834,
2000-05,10.790,
2000-06,11.285,
2000-07,11.292,
2000-08,11.385,
2000-09,11.451,
2000-10,11.592,
2000-11,11.607,
2000-12,10.235,
2001-01,10.274,
2001-02,10.265,
2001-03,10.338,
2001-04,12.210,
2001-05,9.437,
2001-06,9.373,
2001-07,9.250,
2001-08,9.275,
2001-09,9.576,
2001-10,9.609,
2001-11,9.618,
2001-12,9.697,
2002-01,8.378,
2002-02,8.251,
2002-03,7.936,
2002-04,8.870,
2002-05,11.630,
2002-06,11.616,
2002-07,11.680,
2002-08,12.109,
2002-09,12.388,
2002-10,12.569,
2002-11,12.440,
2002-12,13.034,
2003-01,15.468,
2003-02,16.154,
2003-03,16.994,
2003-04,16.952,
2003-05,16.663,
2003-06,16.683,
2003-07,16.938,
2003-08,16.979,
2003-09,17.041,
2003-10,16.963,
2003-11,16.860,
2003-12,16.021,
2004-01,15.746,
2004-02,17.519,
2004-03,17.433,
2004-04,19.197,
2004-05,17.482,
2004-06,17.124,
2004-07,17.213,
2004-08,17.363,
2004-09,17.309,
2004-10,17.147,
2004-11,15.480,
2004-12,14.799,
2005-01,14.414,
2005-02,14.327,
2005-03,14.318,
2005-04,14.461,
2005-05,14.832,
2005-06,14.630,
2005-07,14.697,
2005-08,14.863,
2005-09,14.880,
2005-10,13.122,
2005-11,12.560,
2005-12,13.056,
2006-01,14.921,
2006-02,15.131,
2006-03,15.170,
2006-04,15.135,
2006-05,15.134,
2006-06,14.036,
2006-07,14.177,
2006-08,13.359,
2006-09,13.662,
2006-10,13.698,
2006-11,14.927,
2006-12,14.799,
2007-01,14.764,
2007-02,14.795,
2007-03,14.780,
2007-04,15.390,
2007-05,15.002,
2007-06,15.110,
2007-07,15.820,
2007-08,15.887,
2007-09,15.526,
2007-10,15.508,
2007-11,15.633,
2007-12,15.368,
2008-01,15.284,
2008-02,15.772,
2008-03,15.315,
2008-04,15.268,
2008-05,15.367,
2008-06,15.480,
2008-07,15.672,
2008-08,16.012,
2008-09,16.085,
2008-10,16.368,
2008-11,16.323,
2008-12,16.134,
2009-01,16.450,
2009-02,16.374,
2009-03,17.219,
2009-04,16.919,
2009-05,16.648,
2009-06,16.639,
2009-07,16.628,
2009-08,16.932,
2009-09,16.387,
2009-10,15.904,
2009-11,15.731,
2009-12,12.120,
2010-01,12.274,
2010-02,12.165,
2010-03,12.122,
2010-04,12.166,
2010-05,12.113,
2010-06,13.363,
2010-07,13.897,
2010-08,14.097,
2010-09,13.734,
2010-10,13.810,
2010-11,14.079,
2010-12,14.229,
2011-01,15.276,
2011-02,15.157,
2011-03,15.236,
2011-04,16.087,
2011-05,16.237,
2011-06,16.209,
2011-07,16.720,
2011-08,16.784,
2011-09,16.799,
2011-10,16.700,
2011-11,16.686,
2011-12,16.441,
2012-01,16.229,
2012-02,16.773,
2012-03,17.753,
2012-04,18.232,
2012-05,18.267,
2012-06,18.490,
2012-07,18.469,
2012-08,18.798,
2012-09,18.935,
2012-10,18.692,
2012-11,18.705,
2012-12,4.947,
2013-01,4.968,
2013-02,4.397,
2013-03,4.391,
2013-04,4.427,
2013-05,4.477,
2013-06,4.524,
2013-07,6.142,
2013-08,6.136,
2013-09,6.164,
2013-10,6.158,
2013-11,6.238,
2013-12,6.224,
2014-01,6.245,
2014-02,6.354,
2014-03,6.404,
2014-04,6.462,
2014-05,6.481,
2014-06,6.215,
2014-07,6.197,
2014-08,6.170,
2014-09,6.207,
2014-10,6.204,
2014-11,6.183,
2014-12,5.337,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
