"",BBK01.CEL70N,BBK01.CEL70N_FLAGS
"",Other accounts receivable                                              debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:06,
1999-01,-12.8,
1999-04,5.2,
1999-07,-16.9,
1999-10,-56.6,
2000-01,9.0,
2000-04,-34.4,
2000-07,-20.7,
2000-10,9.2,
2001-01,11.0,
2001-04,7.6,
2001-07,-42.5,
2001-10,59.3,
2002-01,-2.3,
2002-04,4.4,
2002-07,-20.3,
2002-10,0.1,
2003-01,-18.3,
2003-04,2.4,
2003-07,-21.4,
2003-10,32.7,
2004-01,3.8,
2004-04,6.8,
2004-07,-10.2,
2004-10,1.7,
2005-01,23.6,
2005-04,-19.8,
2005-07,-1.6,
2005-10,22.8,
2006-01,11.8,
2006-04,-22.1,
2006-07,34.7,
2006-10,-4.3,
2007-01,-28.3,
2007-04,17.1,
2007-07,-37.5,
2007-10,55.8,
2008-01,-40.8,
2008-04,-43.9,
2008-07,-44.8,
2008-10,-36.5,
2009-01,13.3,
2009-04,-25.7,
2009-07,-24.8,
2009-10,22.5,
2010-01,-20.9,
2010-04,46.1,
2010-07,-40.4,
2010-10,-62.6,
2011-01,-29.8,
2011-04,10.8,
2011-07,-5.6,
2011-10,-50.4,
2012-01,-46.4,
2012-04,14.9,
2012-07,-11.5,
2012-10,50.1,
2013-01,-22.5,
2013-04,12.8,
2013-07,-33.2,
2013-10,-4.1,
2014-01,21.5,
2014-04,43.6,
2014-07,-33.8,
