"",BBSF2.M.1.P.00000.DAC01.I.F.SVB.U201.00000.F33200.Z01.M1,BBSF2.M.1.P.00000.DAC01.I.F.SVB.U201.00000.F33200.Z01.M1_FLAGS
"","Public funds / Funds-of-funds / Long-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:28,
2009-09,79,
2009-10,82,
2009-11,81,
2009-12,83,
2010-01,90,
2010-02,97,
2010-03,82,
2010-04,85,
2010-05,77,
2010-06,75,
2010-07,94,
2010-08,98,
2010-09,93,
2010-10,100,
2010-11,100,
2010-12,100,
2011-01,108,
2011-02,103,
2011-03,86,
2011-04,85,
2011-05,70,
2011-06,66,
2011-07,137,
2011-08,129,
2011-09,134,
2011-10,133,
2011-11,135,
2011-12,128,
2012-01,174,
2012-02,226,
2012-03,211,
2012-04,234,
2012-05,237,
2012-06,285,
2012-07,263,
2012-08,285,
2012-09,303,
2012-10,235,
2012-11,217,
2012-12,198,
2013-01,215,
2013-02,208,
2013-03,225,
2013-04,231,
2013-05,247,
2013-06,218,
2013-07,211,
2013-08,202,
2013-09,194,
2013-10,199,
2013-11,200,
2013-12,205,
2014-01,212,
2014-02,193,
2014-03,193,
2014-04,198,
2014-05,200,
2014-06,200,
2014-07,179,
2014-08,172,
2014-09,171,
2014-10,185,
2014-11,185,
