"",BBK01.OEYK02V,BBK01.OEYK02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:58,
2002-01,0.014,
2002-04,0.001,
2002-07,0.008,
2002-10,0.004,
2003-01,0.004,
2003-04,0.003,
2003-07,0.002,
2003-10,0.006,
2004-01,0.003,
2004-04,0.005,
2004-07,0.005,
2004-10,0.006,
2005-01,0.008,
2005-04,0.007,
2005-07,0.074,
2005-10,0.084,
2006-01,0.087,
2006-04,0.089,
2006-07,0.090,
2006-10,0.084,
2007-01,0.096,
2007-04,0.090,
2007-07,0.086,
2007-10,0.083,
2008-01,0.087,
2008-04,0.087,
2008-07,0.103,
2008-10,0.128,
2009-01,0.166,
2009-04,0.185,
2009-07,0.218,
2009-10,0.219,
2010-01,0.215,
2010-04,0.220,
2010-07,0.206,
2010-10,0.222,
2011-01,0.280,
2011-04,0.267,
2011-07,0.213,
2011-10,0.211,
2012-01,0.271,
2012-04,0.316,
2012-07,0.286,
2012-10,0.324,
2013-01,0.351,
2013-04,0.348,
2013-07,0.368,
2013-10,0.381,
2014-01,0.390,
2014-04,0.390,
2014-07,0.400,
