"",BBK01.OELM04M,BBK01.OELM04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:46,
2002-01,0.121,
2002-04,0.123,
2002-07,0.117,
2002-10,0.185,
2003-01,0.107,
2003-04,0.100,
2003-07,0.101,
2003-10,0.269,
2004-01,0.107,
2004-04,0.095,
2004-07,0.097,
2004-10,0.409,
2005-01,0.105,
2005-04,0.108,
2005-07,0.120,
2005-10,0.356,
2006-01,0.158,
2006-04,0.198,
2006-07,0.156,
2006-10,0.498,
2007-01,0.166,
2007-04,0.149,
2007-07,0.150,
2007-10,0.277,
2008-01,0.177,
2008-04,0.153,
2008-07,0.192,
2008-10,0.247,
2009-01,0.190,
2009-04,0.155,
2009-07,0.208,
2009-10,0.280,
2010-01,0.146,
2010-04,0.115,
2010-07,0.119,
2010-10,0.153,
2011-01,0.125,
2011-04,0.138,
2011-07,0.146,
2011-10,0.157,
2012-01,0.146,
2012-04,0.177,
2012-07,0.192,
2012-10,0.193,
2013-01,0.215,
2013-04,0.222,
2013-07,0.183,
2013-10,0.186,
2014-01,0.229,
2014-04,0.225,
2014-07,0.199,
