"",BBK01.OEYJ01T,BBK01.OEYJ01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:33,
2002-01,0.083,
2002-04,0.120,
2002-07,0.098,
2002-10,0.107,
2003-01,0.164,
2003-04,0.116,
2003-07,0.105,
2003-10,0.099,
2004-01,0.086,
2004-04,0.099,
2004-07,0.104,
2004-10,0.086,
2005-01,0.100,
2005-04,0.090,
2005-07,0.241,
2005-10,0.138,
2006-01,0.213,
2006-04,0.188,
2006-07,0.161,
2006-10,0.203,
2007-01,0.273,
2007-04,0.256,
2007-07,0.282,
2007-10,0.273,
2008-01,0.310,
2008-04,0.343,
2008-07,0.302,
2008-10,0.464,
2009-01,0.372,
2009-04,0.226,
2009-07,0.267,
2009-10,0.230,
2010-01,0.244,
2010-04,0.320,
2010-07,0.292,
2010-10,0.195,
2011-01,0.248,
2011-04,0.277,
2011-07,0.312,
2011-10,0.312,
2012-01,0.290,
2012-04,0.290,
2012-07,0.225,
2012-10,0.291,
2013-01,0.418,
2013-04,0.396,
2013-07,0.309,
2013-10,0.334,
2014-01,0.376,
2014-04,0.329,
2014-07,0.419,
