"",BBK01.OEAC03G,BBK01.OEAC03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:42,
2002-01,4.453,
2002-04,4.511,
2002-07,4.450,
2002-10,4.478,
2003-01,4.160,
2003-04,4.141,
2003-07,4.120,
2003-10,4.131,
2004-01,4.042,
2004-04,4.101,
2004-07,4.058,
2004-10,3.943,
2005-01,3.967,
2005-04,4.283,
2005-07,4.274,
2005-10,4.322,
2006-01,4.314,
2006-04,4.474,
2006-07,4.616,
2006-10,4.521,
2007-01,4.598,
2007-04,4.551,
2007-07,4.185,
2007-10,4.242,
2008-01,4.394,
2008-04,5.230,
2008-07,5.590,
2008-10,7.407,
2009-01,8.030,
2009-04,8.575,
2009-07,8.505,
2009-10,8.844,
2010-01,8.552,
2010-04,7.898,
2010-07,8.004,
2010-10,8.324,
2011-01,8.250,
2011-04,8.357,
2011-07,8.507,
2011-10,8.878,
2012-01,9.001,
2012-04,8.980,
2012-07,9.194,
2012-10,9.415,
2013-01,9.501,
2013-04,9.612,
2013-07,9.612,
2013-10,9.625,
2014-01,9.594,
2014-04,9.706,
2014-07,9.755,
