"",BBK01.CEFP05,BBK01.CEFP05_FLAGS
"",Time deposits                                                    debtor: Total           creditor:  OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:31,
1999-01,17.6,
1999-04,15.8,
1999-07,15.2,
1999-10,11.4,
2000-01,20.2,
2000-04,13.2,
2000-07,13.9,
2000-10,11.1,
2001-01,18.6,
2001-04,17.4,
2001-07,18.5,
2001-10,18.5,
2002-01,32.1,
2002-04,33.4,
2002-07,29.1,
2002-10,14.5,
2003-01,24.4,
2003-04,30.6,
2003-07,37.4,
2003-10,32.6,
2004-01,44.3,
2004-04,36.5,
2004-07,42.2,
2004-10,33.4,
2005-01,59.8,
2005-04,51.5,
2005-07,64.9,
2005-10,48.1,
2006-01,61.5,
2006-04,59.6,
2006-07,75.6,
2006-10,61.6,
2007-01,89.2,
2007-04,91.6,
2007-07,92.6,
2007-10,94.5,
2008-01,125.5,
2008-04,119.1,
2008-07,135.9,
2008-10,153.3,
2009-01,189.7,
2009-04,207.0,
2009-07,207.0,
2009-10,248.6,
2010-01,239.6,
2010-04,268.8,
2010-07,285.9,
2010-10,304.6,
2011-01,293.2,
2011-04,336.4,
2011-07,380.0,
2011-10,326.3,
2012-01,325.5,
2012-04,351.7,
2012-07,351.0,
2012-10,303.7,
2013-01,344.1,
2013-04,370.9,
2013-07,163.3,
2013-10,158.6,
2014-01,181.4,
2014-04,186.1,
2014-07,181.5,
