"",BBK01.OEBO03V,BBK01.OEBO03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:13,
2002-01,0.753,
2002-04,0.972,
2002-07,0.473,
2002-10,0.450,
2003-01,0.590,
2003-04,0.494,
2003-07,0.488,
2003-10,0.457,
2004-01,0.549,
2004-04,0.439,
2004-07,0.423,
2004-10,0.466,
2005-01,1.146,
2005-04,0.643,
2005-07,0.647,
2005-10,0.648,
2006-01,0.777,
2006-04,0.707,
2006-07,0.686,
2006-10,0.750,
2007-01,0.941,
2007-04,0.711,
2007-07,0.721,
2007-10,0.725,
2008-01,0.892,
2008-04,0.769,
2008-07,0.754,
2008-10,0.963,
2009-01,0.914,
2009-04,0.736,
2009-07,0.708,
2009-10,0.874,
2010-01,0.868,
2010-04,0.620,
2010-07,0.456,
2010-10,0.547,
2011-01,0.705,
2011-04,0.597,
2011-07,0.532,
2011-10,0.565,
2012-01,0.687,
2012-04,0.516,
2012-07,0.552,
2012-10,0.598,
2013-01,0.762,
2013-04,0.540,
2013-07,0.419,
2013-10,0.398,
2014-01,0.403,
2014-04,0.371,
2014-07,0.372,
