"",BBK01.OELB08R,BBK01.OELB08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:07,
2002-01,1.358,
2002-04,1.365,
2002-07,1.382,
2002-10,1.425,
2003-01,1.407,
2003-04,1.417,
2003-07,1.421,
2003-10,1.433,
2004-01,1.417,
2004-04,1.426,
2004-07,1.467,
2004-10,1.426,
2005-01,1.407,
2005-04,1.407,
2005-07,1.414,
2005-10,1.422,
2006-01,1.413,
2006-04,1.505,
2006-07,1.515,
2006-10,1.515,
2007-01,1.504,
2007-04,1.513,
2007-07,1.522,
2007-10,1.527,
2008-01,1.522,
2008-04,1.528,
2008-07,1.556,
2008-10,1.573,
2009-01,1.583,
2009-04,1.592,
2009-07,1.570,
2009-10,1.599,
2010-01,1.604,
2010-04,1.612,
2010-07,1.634,
2010-10,1.643,
2011-01,1.652,
2011-04,1.681,
2011-07,1.704,
2011-10,1.725,
2012-01,1.742,
2012-04,2.220,
2012-07,2.262,
2012-10,2.288,
2013-01,2.295,
2013-04,2.363,
2013-07,2.405,
2013-10,2.420,
2014-01,2.432,
2014-04,2.469,
2014-07,2.512,
