"",BBK01.OEAD04I,BBK01.OEAD04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:00,
2002-01,0.121,
2002-04,0.113,
2002-07,0.106,
2002-10,0.118,
2003-01,0.090,
2003-04,0.110,
2003-07,0.115,
2003-10,0.096,
2004-01,0.097,
2004-04,0.109,
2004-07,0.104,
2004-10,0.107,
2005-01,0.109,
2005-04,0.107,
2005-07,0.103,
2005-10,0.100,
2006-01,0.098,
2006-04,0.095,
2006-07,0.109,
2006-10,0.108,
2007-01,0.103,
2007-04,0.098,
2007-07,0.108,
2007-10,0.096,
2008-01,0.101,
2008-04,0.133,
2008-07,0.125,
2008-10,0.095,
2009-01,0.101,
2009-04,0.131,
2009-07,0.120,
2009-10,0.111,
2010-01,0.047,
2010-04,0.036,
2010-07,0.036,
2010-10,0.035,
2011-01,0.092,
2011-04,0.083,
2011-07,0.075,
2011-10,0.086,
2012-01,0.080,
2012-04,0.079,
2012-07,0.075,
2012-10,0.079,
2013-01,0.077,
2013-04,0.077,
2013-07,0.063,
2013-10,0.063,
2014-01,0.055,
2014-04,0.059,
2014-07,0.050,
