"",BBDE1.M.DE.W.BAA1.A2P300000.G.C.I10.A,BBDE1.M.DE.W.BAA1.A2P300000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / Industry / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:35,
1991-01,78.0,
1991-02,78.9,
1991-03,88.1,
1991-04,82.0,
1991-05,79.4,
1991-06,87.2,
1991-07,79.1,
1991-08,73.1,
1991-09,85.7,
1991-10,87.8,
1991-11,89.9,
1991-12,80.3,
1992-01,76.9,
1992-02,80.6,
1992-03,87.7,
1992-04,82.4,
1992-05,80.4,
1992-06,83.6,
1992-07,76.7,
1992-08,72.0,
1992-09,84.1,
1992-10,84.3,
1992-11,84.3,
1992-12,73.9,
1993-01,69.2,
1993-02,70.3,
1993-03,78.8,
1993-04,73.3,
1993-05,72.3,
1993-06,75.7,
1993-07,69.5,
1993-08,67.6,
1993-09,79.1,
1993-10,79.5,
1993-11,79.9,
1993-12,72.2,
1994-01,67.7,
1994-02,71.3,
1994-03,79.6,
1994-04,75.4,
1994-05,74.2,
1994-06,78.7,
1994-07,74.0,
1994-08,68.7,
1994-09,82.0,
1994-10,83.8,
1994-11,85.2,
1994-12,76.2,
1995-01,70.2,
1995-02,74.1,
1995-03,82.4,
1995-04,77.3,
1995-05,76.9,
1995-06,80.1,
1995-07,75.9,
1995-08,69.3,
1995-09,82.9,
1995-10,80.9,
1995-11,82.5,
1995-12,73.7,
1996-01,69.5,
1996-02,71.8,
1996-03,80.7,
1996-04,75.6,
1996-05,75.4,
1996-06,79.8,
1996-07,75.2,
1996-08,70.4,
1996-09,83.0,
1996-10,81.8,
1996-11,84.1,
1996-12,75.0,
1997-01,70.0,
1997-02,73.9,
1997-03,83.9,
1997-04,78.1,
1997-05,76.4,
1997-06,83.4,
1997-07,80.9,
1997-08,72.0,
1997-09,84.8,
1997-10,85.9,
1997-11,87.2,
1997-12,78.8,
1998-01,75.5,
1998-02,78.3,
1998-03,88.8,
1998-04,82.4,
1998-05,81.8,
1998-06,85.8,
1998-07,84.2,
1998-08,75.4,
1998-09,87.3,
1998-10,87.5,
1998-11,87.4,
1998-12,78.5,
1999-01,75.9,
1999-02,77.3,
1999-03,87.2,
1999-04,82.2,
1999-05,81.6,
1999-06,86.2,
1999-07,84.0,
1999-08,77.6,
1999-09,89.7,
1999-10,90.1,
1999-11,91.3,
1999-12,81.5,
2000-01,77.3,
2000-02,82.2,
2000-03,92.2,
2000-04,87.3,
2000-05,88.2,
2000-06,90.9,
2000-07,90.2,
2000-08,82.8,
2000-09,96.0,
2000-10,95.3,
2000-11,97.1,
2000-12,87.2,
2001-01,83.4,
2001-02,87.5,
2001-03,96.5,
2001-04,88.5,
