"",BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.FR.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:17,
1991-01,-859.996,
1991-04,-93.629,
1991-07,199.610,
1991-10,76.695,
1992-01,871.381,
1992-04,1142.225,
1992-07,-110.957,
1992-10,1064.513,
1993-01,1490.685,
1993-04,-1274.805,
1993-07,-2070.058,
1993-10,-339.056,
1994-01,214.318,
1994-04,547.428,
1994-07,947.081,
1994-10,612.711,
1995-01,-334.801,
1995-04,1869.897,
1995-07,161.962,
1995-10,184.774,
1996-01,-119.890,
1996-04,-341.545,
1996-07,-805.468,
1996-10,951.046,
1997-01,2551.692,
1997-04,8430.380,
1997-07,-1366.190,
1997-10,4568.651,
1998-01,6047.827,
1998-04,-914.561,
1998-07,4882.599,
1998-10,3239.445,
1999-01,5388.704,
1999-04,1737.185,
1999-07,10088.531,
1999-10,12731.568,
2000-01,5369.722,
2000-04,1852.281,
2000-07,7907.299,
2000-10,3732.801,
2001-01,5458.476,
2001-04,2505.423,
2001-07,-6860.847,
2001-10,561.229,
2002-01,7981.362,
2002-04,-2657.208,
2002-07,-1507.045,
2002-10,6125.824,
2003-01,-2241.601,
2003-04,-2827.594,
2003-07,7485.451,
2003-10,6158.580,
2004-01,426.385,
2004-04,-4401.289,
2004-07,-3492.768,
2004-10,617.991,
2005-01,9815.267,
2005-04,-3658.912,
2005-07,1406.525,
2005-10,6948.305,
2006-01,-3752.122,
2006-04,127.118,
2006-07,1466.514,
2006-10,2658.120,
2007-01,6848.701,
2007-04,-1420.366,
2007-07,-4157.665,
2007-10,-726.438,
2008-01,1787.111,
2008-04,7385.680,
2008-07,-1814.573,
2008-10,-9956.269,
2009-01,5765.798,
2009-04,8912.237,
2009-07,6414.459,
2009-10,4411.599,
2010-01,10390.130,
2010-04,9378.530,
2010-07,4839.710,
2010-10,5377.485,
2011-01,10904.679,
2011-04,6398.366,
2011-07,2995.895,
2011-10,-1698.256,
2012-01,11817.286,
2012-04,7207.526,
2012-07,2969.148,
2012-10,3672.179,
2013-01,3872.668,
2013-04,3204.341,
2013-07,4072.935,
2013-10,219.584,
2014-01,9560.532,Provisional value
2014-04,4420.889,Provisional value
2014-07,4440.511,Provisional value
2014-10,-4370.383,Provisional value
