"",BBK01.OEXJ02O,BBK01.OEXJ02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:31,
2002-01,-1.225,
2002-04,-1.258,
2002-07,-1.293,
2002-10,-1.786,
2003-01,-2.276,
2003-04,-1.153,
2003-07,-2.204,
2003-10,-2.774,
2004-01,-2.518,
2004-04,-2.109,
2004-07,-2.079,
2004-10,-2.824,
2005-01,0.705,
2005-04,0.721,
2005-07,0.735,
2005-10,0.880,
2006-01,0.826,
2006-04,0.722,
2006-07,0.548,
2006-10,0.777,
2007-01,0.649,
2007-04,0.761,
2007-07,0.738,
2007-10,0.671,
2008-01,0.623,
2008-04,0.595,
2008-07,0.642,
2008-10,0.635,
2009-01,0.630,
2009-04,0.549,
2009-07,0.536,
2009-10,0.651,
2010-01,0.542,
2010-04,0.550,
2010-07,0.651,
2010-10,0.668,
2011-01,0.637,
2011-04,0.717,
2011-07,0.768,
2011-10,0.819,
2012-01,0.803,
2012-04,0.764,
2012-07,0.829,
2012-10,0.929,
2013-01,0.840,
2013-04,0.855,
2013-07,0.910,
2013-10,1.043,
2014-01,0.851,
2014-04,0.894,
2014-07,0.957,
