"",BBFN1.M.DE.N.1.A.W1.S1P.H1.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H1.T.NV00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from credit terms granted / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:06,
1974-12,6.742,
1975-01,6.974,
1975-02,6.937,
1975-03,7.213,
1975-04,7.244,
1975-05,7.252,
1975-06,7.331,
1975-07,6.711,
1975-08,6.518,
1975-09,6.826,
1975-10,6.848,
1975-11,6.958,
1975-12,6.717,
1976-01,6.707,
1976-02,6.987,
1976-03,7.103,
1976-04,7.363,
1976-05,7.480,
1976-06,7.579,
1976-07,7.487,
1976-08,7.236,
1976-09,7.674,
1976-10,7.877,
1976-11,8.057,
1976-12,8.062,
1977-01,8.245,
1977-02,8.681,
1977-03,9.122,
1977-04,9.322,
1977-05,9.472,
1977-06,9.605,
1977-07,9.388,
1977-08,9.084,
1977-09,9.269,
1977-10,9.398,
1977-11,9.516,
1977-12,8.722,
1978-01,8.670,
1978-02,9.025,
1978-03,9.108,
1978-04,9.188,
1978-05,9.226,
1978-06,9.516,
1978-07,8.966,
1978-08,8.974,
1978-09,9.541,
1978-10,9.828,
1978-11,9.715,
1978-12,9.422,
1979-01,9.600,
1979-02,9.837,
1979-03,10.180,
1979-04,10.251,
1979-05,10.441,
1979-06,10.401,
1979-07,10.160,
1979-08,10.093,
1979-09,10.435,
1979-10,10.852,
1979-11,10.970,
1979-12,10.272,
1980-01,10.910,
1980-02,11.584,
1980-03,11.856,
1980-04,12.098,
1980-05,11.993,
1980-06,12.164,
1980-07,11.944,
1980-08,11.583,
1980-09,12.171,
1980-10,11.859,
1980-11,12.117,
1980-12,11.680,
1981-01,11.819,
1981-02,12.596,
1981-03,12.788,
1981-04,12.966,
1981-05,13.125,
1981-06,13.286,
1981-07,13.431,
1981-08,13.260,
1981-09,13.883,
1981-10,14.185,
1981-11,14.726,
1981-12,13.633,
1982-01,14.238,
1982-02,15.113,
1982-03,15.297,
1982-04,15.335,
1982-05,15.103,
1982-06,14.892,
1982-07,14.647,
1982-08,14.095,
1982-09,14.568,
1982-10,14.414,
1982-11,14.610,
1982-12,13.658,
1983-01,13.734,
1983-02,14.009,
1983-03,13.751,
1983-04,13.909,
1983-05,13.872,
1983-06,13.996,
1983-07,13.604,
1983-08,13.352,
1983-09,14.268,
1983-10,14.363,
1983-11,14.598,
1983-12,14.337,
1984-01,14.705,
1984-02,15.295,
