"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.U2.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.U2.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Euro area (changing composition),
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:50,
2009-09,57480,
2009-10,55246,
2009-11,55469,
2009-12,57465,
2010-01,55745,
2010-02,54788,
2010-03,60220,
2010-04,58602,
2010-05,54958,
2010-06,54630,
2010-07,57152,
2010-08,55203,
2010-09,57917,
2010-10,60979,
2010-11,58339,
2010-12,61321,
2011-01,64135,
2011-02,64995,
2011-03,63737,
2011-04,65097,
2011-05,62114,
2011-06,61857,
2011-07,58789,
2011-08,50288,
2011-09,47517,
2011-10,51979,
2011-11,48969,
2011-12,48560,
2012-01,50676,
2012-02,52346,
2012-03,52031,
2012-04,51958,
2012-05,47047,
2012-06,48421,
2012-07,50456,
2012-08,50821,
2012-09,51529,
2012-10,52746,
2012-11,53969,
2012-12,56137,
2013-01,58411,
2013-02,57922,
2013-03,58292,
2013-04,60735,
2013-05,63148,
2013-06,58569,
2013-07,63053,
2013-08,62885,
2013-09,65769,
2013-10,69588,
2013-11,71729,
2013-12,70193,
2014-01,67202,
2014-02,70335,
2014-03,70839,
2014-04,72723,
2014-05,72793,
2014-06,71928,
2014-07,68878,
2014-08,69428,
2014-09,69750,
2014-10,69209,
2014-11,72634,
