"",BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F2.T._T.N.N,BBFB1.Q.N.DE.W1.S1.S1.T.L.FA.O.F2.T._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Currency and deposits / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:54,
1991-01,9039.993,
1991-04,-5977.562,
1991-07,-2543.090,
1991-10,2261.706,
1992-01,9890.723,
1992-04,2969.000,
1992-07,17828.194,
1992-10,-702.811,
1993-01,6880.446,
1993-04,4911.338,
1993-07,4999.368,
1993-10,11861.901,
1994-01,14556.771,
1994-04,7017.540,
1994-07,11790.736,
1994-10,21895.566,
1995-01,22089.850,
1995-04,18885.677,
1995-07,13939.314,
1995-10,4673.648,
1996-01,10653.496,
1996-04,8777.471,
1996-07,-8957.297,
1996-10,16968.971,
1997-01,46341.543,
1997-04,28061.327,
1997-07,-773.032,
1997-10,30489.481,
1998-01,44152.663,
1998-04,39091.927,
1998-07,4433.791,
1998-10,57030.170,
1999-01,46556.733,
1999-04,14146.105,
1999-07,16789.283,
1999-10,15911.166,
2000-01,78153.056,
2000-04,6961.474,
2000-07,3696.534,
2000-10,26896.367,
2001-01,131342.338,
2001-04,-24687.905,
2001-07,-5282.744,
2001-10,-44399.428,
2002-01,15189.307,
2002-04,4985.224,
2002-07,29169.078,
2002-10,-20237.744,
2003-01,43046.153,
2003-04,-431.981,
2003-07,-9009.854,
2003-10,-20920.943,
2004-01,56873.324,
2004-04,-53405.646,
2004-07,26722.685,
2004-10,-348.065,
2005-01,62598.651,
2005-04,-18487.403,
2005-07,4942.171,
2005-10,-28707.332,
2006-01,58917.842,
2006-04,584.368,
2006-07,11288.304,
2006-10,-14536.170,
2007-01,38864.011,
2007-04,27026.920,
2007-07,55619.966,
2007-10,-37065.321,
2008-01,106895.254,
2008-04,-31723.912,
2008-07,30921.863,
2008-10,-151226.311,
2009-01,-44570.070,
2009-04,-9055.791,
2009-07,-47324.481,
2009-10,-36737.792,
2010-01,51995.374,
2010-04,74695.662,
2010-07,624.516,
2010-10,-45479.269,
2011-01,-40337.222,
2011-04,-33296.228,
2011-07,86977.247,
2011-10,-78266.875,
2012-01,220926.145,
2012-04,14660.268,
2012-07,-4245.703,
2012-10,-120166.093,
2013-01,-35033.440,
2013-04,-25308.491,
2013-07,-68177.857,
2013-10,-78943.474,
2014-01,9592.266,
2014-04,12547.399,
2014-07,4370.183,
