"",BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:59,
1991-01,0.061,
1991-04,6.779,
1991-07,2.663,
1991-10,-0.212,
1992-01,0.857,
1992-04,-0.012,
1992-07,-0.149,
1992-10,-3.854,
1993-01,0.413,
1993-04,0.445,
1993-07,-2.444,
1993-10,-2.205,
1994-01,-1.846,
1994-04,-2.985,
1994-07,-0.278,
1994-10,1.522,
1995-01,-1.456,
1995-04,0.014,
1995-07,1.896,
1995-10,-1.795,
1996-01,0.544,
1996-04,-0.462,
1996-07,2.674,
1996-10,5.245,
1997-01,-7.778,
1997-04,1.530,
1997-07,-3.006,
1997-10,3.139,
1998-01,-9.160,
1998-04,1.967,
1998-07,1.295,
1998-10,5.125,
1999-01,5.564,
1999-04,116.235,
1999-07,-3.915,
1999-10,-7.248,
2000-01,47.357,
2000-04,-2.903,
2000-07,-5.995,
2000-10,-0.575,
2001-01,-4.886,
2001-04,-4.313,
2001-07,-17.086,
2001-10,-51.275,
2002-01,-6.667,
2002-04,9.728,
2002-07,4.993,
2002-10,-17.346,
2003-01,9.939,
2003-04,-13.497,
2003-07,29.450,
2003-10,1.908,
2004-01,52.125,
2004-04,-4.810,
2004-07,-7.393,
2004-10,16.994,
2005-01,11.451,
2005-04,21.742,
2005-07,-19.878,
2005-10,65.467,
2006-01,-31.557,
2006-04,-11.117,
2006-07,-45.479,
2006-10,-20.345,
2007-01,-16.229,
2007-04,196.950,
2007-07,-33.708,
2007-10,-31.510,
2008-01,-1.754,
2008-04,-56.590,
2008-07,-46.700,
2008-10,-37.908,
2009-01,21.427,
2009-04,-33.943,
2009-07,-57.478,
2009-10,-42.629,
2010-01,-124.643,
2010-04,-98.244,
2010-07,-64.054,
2010-10,-4.639,
2011-01,-34.198,
2011-04,-53.366,
2011-07,-57.642,
2011-10,-40.271,
2012-01,-29.182,
2012-04,-40.585,
2012-07,-65.425,
2012-10,-41.154,
2013-01,-11.132,
2013-04,13.054,
2013-07,6.828,
2013-10,11.589,
2014-01,0.597,Provisional value
2014-04,-0.860,Provisional value
2014-07,2.552,Provisional value
2014-10,4.832,Provisional value
