"",BBK01.QUX779,BBK01.QUX779_FLAGS
"","Consolidated German banks: Claims on non-residents, total (excluding participating interests) / Bermuda / All currencies",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:35:49,
2002-03,8.497,
2002-04,7.652,
2002-05,7.316,
2002-06,7.079,
2002-07,7.141,
2002-08,7.055,
2002-09,7.160,
2002-10,7.045,
2002-11,7.012,
2002-12,5.951,
2003-01,5.655,
2003-02,5.663,
2003-03,5.576,
2003-04,6.134,
2003-05,5.277,
2003-06,4.931,
2003-07,5.309,
2003-08,5.954,
2003-09,6.235,
2003-10,5.850,
2003-11,5.712,
2003-12,5.165,
2004-01,5.083,
2004-02,5.038,
2004-03,5.183,
2004-04,5.715,
2004-05,5.937,
2004-06,5.144,
2004-07,5.320,
2004-08,5.537,
2004-09,5.566,
2004-10,5.668,
2004-11,6.428,
2004-12,5.176,
2005-01,5.574,
2005-02,5.628,
2005-03,6.384,
2005-04,6.900,
2005-05,7.425,
2005-06,6.616,
2005-07,5.901,
2005-08,5.436,
2005-09,5.482,
2005-10,5.096,
2005-11,6.014,
2005-12,6.402,
2006-01,7.556,
2006-02,8.074,
2006-03,8.085,
2006-04,11.259,
2006-05,8.496,
2006-06,6.178,
2006-07,8.154,
2006-08,7.701,
2006-09,6.293,
2006-10,5.335,
2006-11,6.757,
2006-12,6.485,
2007-01,5.842,
2007-02,6.760,
2007-03,6.909,
2007-04,6.465,
2007-05,7.549,
2007-06,6.701,
2007-07,7.602,
2007-08,6.078,
2007-09,6.537,
2007-10,7.299,
2007-11,6.122,
2007-12,7.032,
2008-01,6.945,
2008-02,5.944,
2008-03,5.605,
2008-04,5.587,
2008-05,5.958,
2008-06,5.424,
2008-07,6.397,
2008-08,6.885,
2008-09,8.003,
2008-10,11.597,
2008-11,8.312,
2008-12,6.372,
2009-01,5.971,
2009-02,5.939,
2009-03,5.493,
2009-04,5.544,
2009-05,5.267,
2009-06,5.351,
2009-07,5.071,
2009-08,4.793,
2009-09,4.850,
2009-10,4.819,
2009-11,4.630,
2009-12,5.200,
2010-01,5.216,
2010-02,5.287,
2010-03,5.425,
2010-04,5.787,
2010-05,6.658,
2010-06,6.602,
2010-07,5.777,
2010-08,5.956,
2010-09,5.778,
2010-10,5.804,
2010-11,5.833,
2010-12,5.556,
2011-01,5.382,
2011-02,5.177,
2011-03,4.879,
2011-04,5.182,
2011-05,5.287,
2011-06,5.315,
2011-07,5.075,
2011-08,5.185,
2011-09,5.190,
2011-10,5.304,
2011-11,4.988,
2011-12,5.067,
2012-01,4.831,
2012-02,4.855,
2012-03,4.649,
2012-04,4.998,
2012-05,5.937,
2012-06,4.887,
2012-07,4.496,
2012-08,4.917,
2012-09,4.592,
2012-10,5.101,
2012-11,5.093,
2012-12,5.037,
2013-01,4.716,
2013-02,4.541,
2013-03,4.516,
2013-04,5.958,
2013-05,4.937,
2013-06,5.040,
2013-07,4.976,
2013-08,4.937,
2013-09,5.231,
2013-10,5.691,
2013-11,5.996,
2013-12,6.298,
2014-01,5.777,
2014-02,6.115,
2014-03,6.303,
2014-04,6.295,
2014-05,6.298,
2014-06,7.304,
2014-07,6.353,
2014-08,6.278,
2014-09,5.890,
2014-10,6.002,
