"",BBK01.OEXI02N,BBK01.OEXI02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:36,
2002-01,32.651,
2002-04,33.510,
2002-07,33.034,
2002-10,36.251,
2003-01,37.388,
2003-04,36.159,
2003-07,36.823,
2003-10,41.004,
2004-01,40.455,
2004-04,39.239,
2004-07,39.073,
2004-10,18.894,
2005-01,23.484,
2005-04,26.251,
2005-07,24.427,
2005-10,26.001,
2006-01,25.946,
2006-04,26.904,
2006-07,24.883,
2006-10,25.038,
2007-01,25.647,
2007-04,26.129,
2007-07,25.628,
2007-10,25.136,
2008-01,25.806,
2008-04,24.971,
2008-07,26.345,
2008-10,24.877,
2009-01,27.355,
2009-04,28.205,
2009-07,28.938,
2009-10,28.692,
2010-01,30.546,
2010-04,30.227,
2010-07,30.376,
2010-10,31.127,
2011-01,31.488,
2011-04,32.270,
2011-07,33.806,
2011-10,33.118,
2012-01,34.482,
2012-04,35.549,
2012-07,37.255,
2012-10,39.950,
2013-01,40.864,
2013-04,45.649,
2013-07,45.751,
2013-10,45.017,
2014-01,47.885,
2014-04,46.174,
2014-07,48.412,
