"",BBFN1.M.DE.N.1.A.CA.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CA.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Canada,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:28,
1982-09,0.318,
1982-10,0.321,
1982-11,0.325,
1982-12,0.324,
1983-01,0.322,
1983-02,0.320,
1983-03,0.336,
1983-04,0.331,
1983-05,0.339,
1983-06,0.347,
1983-07,0.358,
1983-08,0.353,
1983-09,0.347,
1983-10,0.344,
1983-11,0.343,
1983-12,0.334,
1984-01,0.341,
1984-02,0.338,
1984-03,0.348,
1984-04,0.350,
1984-05,0.351,
1984-06,0.344,
1984-07,0.345,
1984-08,0.349,
1984-09,0.355,
1984-10,0.360,
1984-11,0.338,
1984-12,0.338,
1985-01,0.325,
1985-02,0.326,
1985-03,0.354,
1985-04,0.348,
1985-05,0.341,
1985-06,0.342,
1985-07,0.342,
1985-08,0.352,
1985-09,0.348,
1985-10,0.340,
1985-11,0.341,
1985-12,0.333,
1986-01,0.341,
1986-02,0.342,
1986-03,0.335,
1986-04,0.341,
1986-05,0.340,
1986-06,0.342,
1986-07,0.341,
1986-08,0.327,
1986-09,0.325,
1986-10,0.325,
1986-11,0.325,
1986-12,0.339,
1987-01,0.335,
1987-02,0.335,
1987-03,0.332,
1987-04,0.332,
1987-05,0.333,
1987-06,0.318,
1987-07,0.315,
1987-08,0.324,
1987-09,0.324,
1987-10,0.328,
1987-11,0.328,
1987-12,0.329,
1988-01,0.320,
1988-02,0.322,
1988-03,0.311,
1988-04,0.305,
1988-05,0.309,
1988-06,0.312,
1988-07,0.309,
1988-08,0.310,
1988-09,0.308,
1988-10,0.309,
1988-11,0.310,
1988-12,0.308,
1989-01,0.310,
1989-02,0.305,
1989-03,0.278,
1989-04,0.282,
1989-05,0.285,
1989-06,0.284,
1989-07,0.289,
1989-08,0.300,
1989-09,0.301,
1989-10,0.292,
1989-11,0.291,
1989-12,0.285,
1990-01,0.274,
1990-02,0.268,
1990-03,0.268,
1990-04,0.266,
1990-05,0.265,
1990-06,0.264,
1990-07,0.263,
1990-08,0.265,
1990-09,0.321,
1990-10,0.320,
1990-11,0.322,
1990-12,0.338,
1991-01,0.337,
1991-02,0.342,
1991-03,0.348,
1991-04,0.348,
1991-05,0.353,
1991-06,0.352,
1991-07,0.376,
1991-08,0.376,
1991-09,0.369,
1991-10,0.371,
1991-11,0.346,
1991-12,0.337,
1992-01,0.338,
1992-02,0.340,
1992-03,0.340,
1992-04,0.341,
1992-05,0.336,
1992-06,0.330,
1992-07,0.325,
1992-08,0.323,
1992-09,0.318,
1992-10,0.321,
1992-11,0.320,
1992-12,0.308,
1993-01,0.308,
1993-02,0.307,
1993-03,0.307,
1993-04,0.304,
1993-05,0.305,
1993-06,0.300,
1993-07,0.299,
1993-08,0.297,
1993-09,0.294,
1993-10,0.283,
1993-11,0.284,
1993-12,0.269,
1994-01,0.264,
1994-02,0.255,
1994-03,0.256,
1994-04,0.257,
1994-05,0.257,
1994-06,0.244,
1994-07,0.246,
1994-08,0.247,
1994-09,0.247,
1994-10,0.210,
1994-11,0.208,
1994-12,0.211,
1995-01,0.207,
1995-02,0.206,
1995-03,0.200,
1995-04,0.200,
1995-05,0.211,
1995-06,0.212,
1995-07,0.202,
1995-08,0.228,
1995-09,0.229,
1995-10,0.231,
1995-11,0.229,
1995-12,0.171,
1996-01,0.189,
1996-02,0.183,
1996-03,0.183,
1996-04,0.184,
1996-05,0.186,
1996-06,0.204,
1996-07,0.184,
1996-08,0.184,
1996-09,0.185,
1996-10,0.187,
1996-11,0.191,
1996-12,0.154,
1997-01,0.145,
1997-02,0.149,
