"",BBDE1.M.DE.Y.AEB5.A2Q400000.F.V.I10.A,BBDE1.M.DE.Y.AEB5.A2Q400000.F.V.I10.A_FLAGS
"","Orders received from abroad / At current prices, flows / Germany / Manufacturing excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:50,
1991-01,43.2,
1991-02,40.9,
1991-03,41.4,
1991-04,42.3,
1991-05,41.1,
1991-06,41.8,
1991-07,41.3,
1991-08,45.6,
1991-09,41.6,
1991-10,43.3,
1991-11,43.4,
1991-12,44.0,
1992-01,42.5,
1992-02,42.9,
1992-03,43.6,
1992-04,41.5,
1992-05,41.2,
1992-06,40.5,
1992-07,40.3,
1992-08,40.2,
1992-09,39.7,
1992-10,36.9,
1992-11,38.6,
1992-12,38.2,
1993-01,37.9,
1993-02,38.5,
1993-03,37.7,
1993-04,38.2,
1993-05,37.6,
1993-06,38.1,
1993-07,38.4,
1993-08,38.0,
1993-09,39.7,
1993-10,39.3,
1993-11,40.2,
1993-12,41.5,
1994-01,39.4,
1994-02,41.5,
1994-03,43.8,
1994-04,42.8,
1994-05,42.8,
1994-06,44.5,
1994-07,42.5,
1994-08,42.7,
1994-09,45.5,
1994-10,46.9,
1994-11,47.0,
1994-12,48.8,
1995-01,45.6,
1995-02,46.9,
1995-03,45.9,
1995-04,44.9,
1995-05,45.3,
1995-06,44.7,
1995-07,45.8,
1995-08,43.9,
1995-09,46.3,
1995-10,44.4,
1995-11,43.0,
1995-12,45.3,
1996-01,44.9,
1996-02,45.4,
1996-03,46.6,
1996-04,46.7,
1996-05,47.9,
1996-06,46.6,
1996-07,47.5,
1996-08,48.4,
1996-09,47.8,
1996-10,50.2,
1996-11,49.8,
1996-12,49.3,
1997-01,51.5,
1997-02,51.5,
1997-03,53.2,
1997-04,53.8,
1997-05,52.7,
1997-06,54.8,
1997-07,54.9,
1997-08,55.7,
1997-09,57.9,
1997-10,55.9,
1997-11,55.6,
1997-12,56.3,
1998-01,57.1,
1998-02,56.0,
1998-03,56.0,
1998-04,57.6,
1998-05,55.1,
1998-06,56.6,
1998-07,56.1,
1998-08,55.0,
1998-09,56.3,
1998-10,53.0,
1998-11,53.1,
1998-12,56.9,
1999-01,53.6,
1999-02,55.0,
1999-03,55.6,
1999-04,56.7,
1999-05,57.4,
1999-06,57.6,
1999-07,60.4,
1999-08,63.6,
1999-09,62.1,
1999-10,62.8,
1999-11,64.1,
1999-12,64.7,
2000-01,63.0,
2000-02,67.1,
2000-03,69.4,
2000-04,68.5,
2000-05,70.9,
2000-06,72.5,
2000-07,73.4,
2000-08,76.3,
2000-09,76.0,
2000-10,76.0,
2000-11,74.7,
2000-12,75.4,
2001-01,72.7,
2001-02,73.3,
2001-03,72.5,
2001-04,70.1,
2001-05,74.9,
2001-06,73.5,
2001-07,71.5,
2001-08,72.2,
2001-09,69.4,
2001-10,69.9,
2001-11,69.5,
2001-12,73.6,
2002-01,71.3,
2002-02,72.0,
2002-03,73.7,
2002-04,74.2,
2002-05,76.8,
2002-06,75.2,
2002-07,73.7,
2002-08,77.0,
2002-09,75.5,
2002-10,73.8,
2002-11,77.2,
2002-12,72.1,
2003-01,76.4,
2003-02,74.6,
2003-03,74.2,
2003-04,73.7,
2003-05,71.5,
2003-06,73.3,
2003-07,74.7,
2003-08,75.5,
2003-09,76.2,
2003-10,77.0,
2003-11,77.2,
2003-12,81.2,
2004-01,77.9,
2004-02,78.8,
2004-03,81.1,
2004-04,82.9,
2004-05,85.1,
2004-06,82.5,
2004-07,84.2,
2004-08,82.0,
2004-09,83.2,
2004-10,80.5,
2004-11,81.1,
2004-12,85.7,
2005-01,85.5,
2005-02,83.7,
2005-03,85.4,
2005-04,85.0,
2005-05,85.2,
2005-06,89.0,
2005-07,90.1,
2005-08,89.2,
2005-09,91.6,
2005-10,94.7,
2005-11,95.9,
2005-12,93.7,
2006-01,97.9,
2006-02,96.3,
2006-03,97.3,
2006-04,100.2,
2006-05,99.8,
2006-06,99.4,
2006-07,100.5,
2006-08,102.2,
2006-09,101.2,
2006-10,104.6,
2006-11,104.8,
2006-12,103.4,
2007-01,107.8,
2007-02,111.5,
2007-03,111.4,
2007-04,107.3,
2007-05,112.4,
2007-06,114.9,
2007-07,112.6,
2007-08,112.5,
2007-09,111.6,
2007-10,117.3,
2007-11,115.9,
2007-12,116.8,
2008-01,114.3,
2008-02,114.1,
2008-03,113.3,
2008-04,114.7,
2008-05,109.1,
2008-06,107.2,
2008-07,104.6,
2008-08,108.6,
2008-09,101.4,
2008-10,94.1,
2008-11,87.1,
2008-12,77.1,
2009-01,68.6,
2009-02,67.7,
2009-03,71.2,
2009-04,70.9,
2009-05,73.3,
2009-06,78.3,
2009-07,77.9,
2009-08,81.2,
2009-09,85.6,
2009-10,83.5,
2009-11,87.3,
2009-12,85.6,
2010-01,88.0,
2010-02,90.4,
2010-03,92.6,
2010-04,98.2,
2010-05,99.3,
2010-06,99.6,
2010-07,101.6,
2010-08,103.4,
2010-09,102.6,
2010-10,103.1,
2010-11,109.7,
2010-12,108.6,
2011-01,111.8,
2011-02,111.6,
2011-03,110.4,
2011-04,108.2,
2011-05,107.6,
2011-06,112.4,
2011-07,109.9,
2011-08,109.1,
2011-09,107.2,
2011-10,107.8,
2011-11,104.6,
2011-12,108.2,
2012-01,107.2,
2012-02,108.7,
2012-03,109.0,
2012-04,108.6,
2012-05,111.1,
2012-06,109.1,
2012-07,110.9,
2012-08,110.2,
2012-09,108.1,
2012-10,110.2,
2012-11,108.5,
2012-12,111.0,
2013-01,106.6,
2013-02,107.2,
2013-03,110.9,
2013-04,109.9,
2013-05,112.4,
2013-06,112.9,
2013-07,108.9,
2013-08,113.4,
2013-09,112.0,
2013-10,112.4,
2013-11,113.3,
2013-12,116.8,
2014-01,115.9,
2014-02,114.0,
2014-03,113.5,
2014-04,112.5,
2014-05,109.9,
2014-06,114.8,
2014-07,115.8,
2014-08,114.7,
2014-09,119.2,
2014-10,120.8,
2014-11,119.4,
2014-12,123.4,Provisional value
