"",BBK01.OEXL09O,BBK01.OEXL09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:42,
2002-01,-0.213,
2002-04,-0.182,
2002-07,-0.110,
2002-10,-0.089,
2003-01,-0.095,
2003-04,-0.107,
2003-07,-0.118,
2003-10,-0.124,
2004-01,-0.103,
2004-04,-0.104,
2004-07,-0.104,
2004-10,-0.105,
2005-01,0.223,
2005-04,0.209,
2005-07,0.179,
2005-10,0.172,
2006-01,0.172,
2006-04,0.172,
2006-07,0.183,
2006-10,0.204,
2007-01,0.333,
2007-04,0.378,
2007-07,0.420,
2007-10,0.492,
2008-01,0.530,
2008-04,0.544,
2008-07,0.566,
2008-10,0.838,
2009-01,0.807,
2009-04,0.798,
2009-07,0.802,
2009-10,0.636,
2010-01,0.497,
2010-04,0.480,
2010-07,0.454,
2010-10,0.601,
2011-01,0.742,
2011-04,0.767,
2011-07,0.780,
2011-10,0.720,
2012-01,0.623,
2012-04,0.623,
2012-07,0.580,
2012-10,0.471,
2013-01,0.376,
2013-04,0.301,
2013-07,0.272,
2013-10,0.253,
2014-01,0.244,
2014-04,0.229,
2014-07,0.331,
