"",BBK01.OEAH64P,BBK01.OEAH64P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:45,
2002-01,0.554,
2002-04,0.567,
2002-07,0.554,
2002-10,0.542,
2003-01,0.544,
2003-04,0.530,
2003-07,0.496,
2003-10,0.484,
2004-01,0.483,
2004-04,0.477,
2004-07,0.468,
2004-10,0.477,
2005-01,0.471,
2005-04,0.454,
2005-07,0.441,
2005-10,0.440,
2006-01,0.437,
2006-04,0.428,
2006-07,0.439,
2006-10,0.451,
2007-01,0.482,
2007-04,0.512,
2007-07,0.543,
2007-10,0.573,
2008-01,0.620,
2008-04,0.662,
2008-07,0.702,
2008-10,0.729,
2009-01,0.704,
2009-04,0.612,
2009-07,0.537,
2009-10,0.502,
2010-01,0.483,
2010-04,0.456,
2010-07,0.451,
2010-10,0.446,
2011-01,0.457,
2011-04,0.470,
2011-07,0.474,
2011-10,0.480,
2012-01,0.460,
2012-04,0.460,
2012-07,0.449,
2012-10,0.427,
2013-01,0.391,
2013-04,0.350,
2013-07,0.325,
2013-10,0.316,
2014-01,0.311,
2014-04,0.301,
2014-07,0.281,
