"",BBK01.OEAH38Q,BBK01.OEAH38Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:11,
2002-01,0.547,
2002-04,0.576,
2002-07,0.564,
2002-10,0.546,
2003-01,0.533,
2003-04,0.416,
2003-07,0.520,
2003-10,0.511,
2004-01,0.547,
2004-04,0.499,
2004-07,0.496,
2004-10,0.499,
2005-01,0.481,
2005-04,0.476,
2005-07,0.439,
2005-10,0.424,
2006-01,0.417,
2006-04,0.421,
2006-07,0.404,
2006-10,0.363,
2007-01,0.382,
2007-04,0.380,
2007-07,0.369,
2007-10,0.351,
2008-01,0.341,
2008-04,0.334,
2008-07,0.341,
2008-10,0.338,
2009-01,0.337,
2009-04,0.337,
2009-07,0.330,
2009-10,0.343,
2010-01,0.349,
2010-04,0.333,
2010-07,0.715,
2010-10,0.789,
2011-01,0.573,
2011-04,0.605,
2011-07,0.550,
2011-10,0.533,
2012-01,0.521,
2012-04,0.512,
2012-07,0.498,
2012-10,0.465,
2013-01,0.482,
2013-04,0.460,
2013-07,0.441,
2013-10,0.409,
2014-01,0.373,
2014-04,0.364,
2014-07,0.370,
