"",BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.T._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.L.FA.O.F2.T._T.N.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Currency and deposits / Monetary financial institutions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:11,
1991-01,585.594,
1991-02,1576.927,
1991-03,7696.284,
1991-04,-3864.679,
1991-05,-3477.077,
1991-06,2898.521,
1991-07,-1090.421,
1991-08,2604.370,
1991-09,-2807.216,
1991-10,2951.615,
1991-11,773.503,
1991-12,-104.316,
1992-01,1610.394,
1992-02,3626.131,
1992-03,5874.933,
1992-04,2185.233,
1992-05,1132.546,
1992-06,2281.798,
1992-07,-969.495,
1992-08,4651.790,
1992-09,16532.173,
1992-10,-3574.778,
1992-11,2594.007,
1992-12,1606.776,
1993-01,-1647.788,
1993-02,6503.940,
1993-03,2026.680,
1993-04,-1385.678,
1993-05,1788.400,
1993-06,4287.884,
1993-07,1683.536,
1993-08,4454.500,
1993-09,-426.789,
1993-10,4842.258,
1993-11,3195.293,
1993-12,4690.156,
1994-01,7990.742,
1994-02,1506.187,
1994-03,5437.215,
1994-04,2986.207,
1994-05,5712.991,
1994-06,270.780,
1994-07,3947.201,
1994-08,5879.034,
1994-09,2219.958,
1994-10,4732.113,
1994-11,1935.083,
1994-12,14432.936,
1995-01,3065.389,
1995-02,14813.503,
1995-03,4582.976,
1995-04,6910.022,
1995-05,6709.790,
1995-06,6686.498,
1995-07,-1726.647,
1995-08,9907.565,
1995-09,5935.896,
1995-10,3930.662,
1995-11,-708.262,
1995-12,1395.475,
1996-01,1456.959,
1996-02,3445.218,
1996-03,5633.618,
1996-04,8044.387,
1996-05,1280.493,
1996-06,-571.858,
1996-07,-6328.067,
1996-08,-2273.063,
1996-09,236.165,
1996-10,-1350.880,
1996-11,14171.032,
1996-12,4605.389,
1997-01,14110.191,
1997-02,14919.369,
1997-03,17754.378,
1997-04,9151.578,
1997-05,5474.989,
1997-06,13386.695,
1997-07,-1249.388,
1997-08,5097.939,
1997-09,-4656.020,
1997-10,27595.300,
1997-11,8635.133,
1997-12,-5772.070,
1998-01,13510.997,
1998-02,8200.999,
1998-03,22476.911,
1998-04,9979.233,
1998-05,24046.165,
1998-06,5123.468,
1998-07,-12569.404,
1998-08,10982.403,
1998-09,5970.700,
1998-10,29883.649,
1998-11,37170.773,
1998-12,-11901.949,
1999-01,62821.666,
1999-02,-26371.023,
1999-03,11786.141,
1999-04,12096.189,
1999-05,2721.254,
1999-06,-415.768,
1999-07,-2149.133,
1999-08,10063.419,
1999-09,8918.026,
1999-10,9521.599,
1999-11,27590.606,
1999-12,-21188.931,
2000-01,29877.908,
2000-02,17717.135,
2000-03,30592.270,
2000-04,23737.211,
2000-05,27034.772,
2000-06,-43885.272,
2000-07,-17743.216,
2000-08,13932.613,
2000-09,7179.721,
2000-10,1173.381,
2000-11,21242.210,
2000-12,4435.122,
2001-01,37513.460,
2001-02,27709.907,
2001-03,65941.635,
2001-04,20719.271,
2001-05,1965.514,
2001-06,-47443.129,
2001-07,-24769.307,
2001-08,21283.090,
2001-09,-4151.310,
2001-10,4135.133,
2001-11,-9878.675,
2001-12,-38684.129,
2002-01,20196.856,
2002-02,-21825.178,
2002-03,15536.614,
2002-04,34803.389,
2002-05,12488.014,
2002-06,-41758.600,
2002-07,6342.744,
2002-08,3478.539,
2002-09,18620.039,
2002-10,5578.415,
2002-11,21420.039,
2002-12,-46427.696,
2003-01,17788.381,
2003-02,6214.126,
2003-03,17346.399,
2003-04,13594.115,
2003-05,1156.152,
2003-06,-15210.675,
2003-07,-3625.740,
2003-08,-29637.000,
2003-09,23834.857,
2003-10,-10525.578,
2003-11,-4428.954,
2003-12,-5805.262,
2004-01,19258.608,
2004-02,9489.114,
2004-03,29127.421,
2004-04,-101.770,
2004-05,-23431.505,
2004-06,-29307.895,
2004-07,-7256.623,
2004-08,6309.467,
2004-09,29023.552,
2004-10,-4283.875,
2004-11,33656.722,
2004-12,-30189.710,
2005-01,47921.709,
2005-02,14291.086,
2005-03,2154.961,
2005-04,72224.627,
2005-05,-16975.741,
2005-06,-73045.984,
2005-07,-999.082,
2005-08,-5494.877,
2005-09,9690.142,
2005-10,20511.315,
2005-11,10488.989,
2005-12,-58316.330,
2006-01,42709.188,
2006-02,6352.420,
2006-03,9792.813,
2006-04,22743.526,
2006-05,7848.738,
2006-06,-29620.823,
2006-07,-27570.867,
2006-08,14388.485,
2006-09,25320.325,
