"",BBSF2.M.1.P.00000.IMM01.I.F.BGS.U3.00000.000000.Z01.00,BBSF2.M.1.P.00000.IMM01.I.F.BGS.U3.00000.000000.Z01.00_FLAGS
"",Public funds / Real estate funds / Developed properties / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:33,
2009-09,10095,
2009-10,10087,
2009-11,9896,
2009-12,10050,
2010-01,10674,
2010-02,10376,
2010-03,10474,
2010-04,10702,
2010-05,10799,
2010-06,11280,
2010-07,11165,
2010-08,11118,
2010-09,10821,
2010-10,10674,
2010-11,10983,
2010-12,10427,
2011-01,10231,
2011-02,10337,
2011-03,10087,
2011-04,9757,
2011-05,9976,
2011-06,9530,
2011-07,9740,
2011-08,9659,
2011-09,9553,
2011-10,9496,
2011-11,9661,
2011-12,9868,
2012-01,9750,
2012-02,9694,
2012-03,9379,
2012-04,9910,
2012-05,10040,
2012-06,9857,
2012-07,10095,
2012-08,9772,
2012-09,9879,
2012-10,10225,
2012-11,9892,
2012-12,9819,
2013-01,9803,
2013-02,9869,
2013-03,10053,
2013-04,10151,
2013-05,10142,
2013-06,10159,
2013-07,10052,
2013-08,9982,
2013-09,10087,
2013-10,9908,
2013-11,10680,
2013-12,10795,
2014-01,10838,
2014-02,10885,
2014-03,10723,
2014-04,10442,
2014-05,10604,
2014-06,10616,
2014-07,10549,
2014-08,10433,
2014-09,10473,
2014-10,10064,
2014-11,10009,
