"",BBFB1.Q.N.DE.HU.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.HU.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Hungary,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:02,
1991-01,0.069,
1991-04,-,Nothing exists
1991-07,-0.042,
1991-10,-0.127,
1992-01,-0.667,
1992-04,5.201,
1992-07,-0.217,
1992-10,0.047,
1993-01,-0.003,
1993-04,0.210,
1993-07,-0.053,
1993-10,0.211,
1994-01,0.749,
1994-04,0.246,
1994-07,-0.370,
1994-10,-0.054,
1995-01,-1.209,
1995-04,0.041,
1995-07,-0.047,
1995-10,-0.145,
1996-01,-0.374,
1996-04,-0.171,
1996-07,-0.071,
1996-10,-0.138,
1997-01,0.092,
1997-04,-0.168,
1997-07,-0.889,
1997-10,-0.283,
1998-01,-0.329,
1998-04,-0.626,
1998-07,-0.026,
1998-10,-0.343,
1999-01,-0.545,
1999-04,-0.360,
1999-07,-0.213,
1999-10,-0.679,
2000-01,-0.144,
2000-04,-1.041,
2000-07,0.007,
2000-10,-1.230,
2001-01,-0.103,
2001-04,-0.628,
2001-07,-0.005,
2001-10,0.071,
2002-01,-0.137,
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,-0.201,
2003-01,-0.266,
2003-04,-0.050,
2003-07,-1.855,
2003-10,1.425,
2004-01,0.288,
2004-04,-0.328,
2004-07,-0.211,
2004-10,-0.700,
2005-01,-0.226,
2005-04,-0.323,
2005-07,-1.073,
2005-10,-0.101,
2006-01,-0.482,
2006-04,-0.240,
2006-07,-0.136,
2006-10,-0.040,
2007-01,-0.022,
2007-04,0.348,
2007-07,3.037,
2007-10,0.000,
2008-01,-0.324,
2008-04,41.585,
2008-07,-0.374,
2008-10,14.740,
2009-01,-0.051,
2009-04,-0.012,
2009-07,0.086,
2009-10,-0.050,
2010-01,-37.367,
2010-04,-2.013,
2010-07,-0.015,
2010-10,-0.134,
2011-01,-,Nothing exists
2011-04,1.911,
2011-07,-0.071,
2011-10,-0.060,
2012-01,0.753,
2012-04,0.010,
2012-07,0.013,
2012-10,-0.028,
2013-01,-7.102,
2013-04,2.807,
2013-07,24.032,
2013-10,-53.000,
2014-01,-55.041,Provisional value
2014-04,-14.000,Provisional value
2014-07,35.890,Provisional value
2014-10,-42.000,Provisional value
