"",BBFB1.M.N.DE.W1.S13.S1.T.LD.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S13.S1.T.LD.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Long-term debt-securities / Public issuers / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:11,
1991-01,15295.630,
1991-02,18270.496,
1991-03,18946.291,
1991-04,14058.171,
1991-05,10788.610,
1991-06,11781.066,
1991-07,13174.220,
1991-08,15043.894,
1991-09,10206.065,
1991-10,13978.923,
1991-11,11513.846,
1991-12,13051.744,
1992-01,23822.010,
1992-02,17568.975,
1992-03,17516.310,
1992-04,14531.844,
1992-05,11238.162,
1992-06,14804.736,
1992-07,17276.490,
1992-08,17588.260,
1992-09,32033.126,
1992-10,44166.467,
1992-11,43163.287,
1992-12,41469.219,
1993-01,41089.788,
1993-02,52309.984,
1993-03,57431.050,
1993-04,43765.870,
1993-05,47971.884,
1993-06,58313.646,
1993-07,74742.287,
1993-08,72268.484,
1993-09,83188.322,
1993-10,82553.326,
1993-11,86980.441,
1993-12,80258.620,
1994-01,70170.849,
1994-02,71926.432,
1994-03,104004.139,
1994-04,65434.532,
1994-05,71430.055,
1994-06,87732.080,
1994-07,70450.699,
1994-08,65230.024,
1994-09,83007.560,
1994-10,58160.121,
1994-11,52182.105,
1994-12,53132.872,
1995-01,63684.474,
1995-02,74202.047,
1995-03,94205.490,
1995-04,61809.119,
1995-05,85385.558,
1995-06,87064.085,
1995-07,67643.667,
1995-08,67811.876,
1995-09,83013.326,
1995-10,78256.638,
1995-11,80658.128,
1995-12,79312.608,
1996-01,95699.420,
1996-02,90422.458,
1996-03,84701.126,
1996-04,66884.260,
1996-05,68044.353,
1996-06,76468.937,
1996-07,80464.634,
1996-08,83514.284,
1996-09,92912.373,
1996-10,88234.117,
1996-11,73641.857,
1996-12,77019.078,
1997-01,98738.223,
1997-02,90831.740,
1997-03,93872.567,
1997-04,91688.020,
1997-05,77336.584,
1997-06,99895.355,
1997-07,108697.523,
1997-08,109250.443,
1997-09,112153.940,
1997-10,125727.297,
1997-11,91613.169,
1997-12,97108.951,
1998-01,125932.031,
1998-02,96301.526,
1998-03,118579.209,
1998-04,104200.555,
1998-05,82088.348,
1998-06,108415.833,
1998-07,100946.465,
1998-08,118410.415,
1998-09,145334.278,
1998-10,122135.098,
1998-11,90894.218,
1998-12,73863.954,
1999-01,80419.093,
1999-02,79358.630,
1999-03,102261.060,
1999-04,72862.153,
1999-05,73219.450,
1999-06,90911.755,
1999-07,76948.328,
1999-08,68778.061,
1999-09,94150.144,
1999-10,91106.375,
1999-11,79295.631,
1999-12,57381.876,
2000-01,73133.709,
2000-02,71189.895,
2000-03,88763.992,
2000-04,47746.674,
2000-05,77009.799,
2000-06,82200.846,
2000-07,52977.068,
2000-08,62356.378,
2000-09,85635.423,
2000-10,76660.660,
2000-11,75209.989,
2000-12,82485.540,
2001-01,105875.228,
2001-02,88632.294,
2001-03,139978.450,
2001-04,75677.629,
2001-05,81468.970,
2001-06,108883.490,
2001-07,75738.768,
2001-08,85111.859,
2001-09,98778.590,
2001-10,76068.472,
2001-11,99012.723,
2001-12,79047.890,
2002-01,88604.542,
2002-02,69485.928,
2002-03,76616.458,
2002-04,63950.977,
2002-05,67112.434,
2002-06,62764.807,
2002-07,79489.203,
2002-08,85577.658,
2002-09,84058.106,
2002-10,95493.541,
2002-11,68977.249,
2002-12,87345.525,
2003-01,89096.048,
2003-02,76837.037,
2003-03,112928.694,
2003-04,74980.056,
2003-05,84675.918,
2003-06,98009.092,
2003-07,99304.014,
2003-08,87449.036,
2003-09,103845.665,
2003-10,87408.496,
2003-11,81304.576,
2003-12,77111.385,
2004-01,78221.812,
2004-02,96707.998,
2004-03,121433.753,
2004-04,68516.596,
2004-05,72732.265,
2004-06,93360.285,
2004-07,71189.564,
2004-08,62849.550,
2004-09,101701.729,
2004-10,59281.668,
2004-11,84859.936,
2004-12,94755.070,
2005-01,88449.307,
2005-02,85540.797,
2005-03,106999.835,
2005-04,71598.255,
2005-05,78071.876,
2005-06,112578.192,
2005-07,60530.212,
2005-08,78893.827,
2005-09,91680.287,
2005-10,101810.522,
2005-11,80004.300,
2005-12,89789.462,
2006-01,81969.833,
2006-02,85250.182,
2006-03,105224.210,
2006-04,64988.668,
2006-05,85750.715,
2006-06,85922.470,
2006-07,53941.503,
2006-08,72836.815,
2006-09,100440.831,
2006-10,64892.795,
2006-11,59896.125,
