"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA._T.FGED.L._T._X.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA._T.FGED.L._T._X.N_FLAGS
"",AVS - Gross external debt - General government - Long-term original maturity (over 1 year or no stated maturity) - Liabilities - Positions - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:36,
1999-10,389317,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,420463,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,426133,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,493625,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,503761,
2004-01,537070,
2004-04,521858,
2004-07,553909,
2004-10,575311,
2005-01,590871,
2005-04,644262,
2005-07,656868,
2005-10,659491,
2006-01,654087,
2006-04,638456,
2006-07,666023,
2006-10,674795,
2007-01,661143,
2007-04,665795,
2007-07,676098,
2007-10,706866,
2008-01,724239,
2008-04,714610,
2008-07,754976,
2008-10,810549,
2009-01,815493,
2009-04,821288,
2009-07,828455,
2009-10,821810,
2010-01,859006,
2010-04,920259,
2010-07,960727,
2010-10,924041,
2011-01,912489,
2011-04,962749,
2011-07,1056518,
2011-10,1080642,
2012-01,1123001,
2012-04,1172798,
2012-07,1189124,
2012-10,1219085,
2013-01,1221100,
2013-04,1186372,
2013-07,1174094,
2013-10,1164278,
2014-01,1217041,
2014-04,1256164,
2014-07,1270662,
