"",BBK01.OEHI03N,BBK01.OEHI03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:40,
2002-01,20.323,
2002-04,20.698,
2002-07,20.662,
2002-10,21.204,
2003-01,20.510,
2003-04,19.825,
2003-07,18.887,
2003-10,19.014,
2004-01,18.197,
2004-04,17.676,
2004-07,17.841,
2004-10,17.743,
2005-01,17.243,
2005-04,17.199,
2005-07,16.502,
2005-10,17.290,
2006-01,17.662,
2006-04,18.206,
2006-07,19.633,
2006-10,20.370,
2007-01,21.144,
2007-04,22.501,
2007-07,25.558,
2007-10,26.189,
2008-01,27.561,
2008-04,29.047,
2008-07,31.572,
2008-10,33.178,
2009-01,27.779,
2009-04,24.688,
2009-07,21.607,
2009-10,19.391,
2010-01,18.154,
2010-04,17.338,
2010-07,17.749,
2010-10,18.648,
2011-01,19.518,
2011-04,20.504,
2011-07,21.410,
2011-10,21.604,
2012-01,21.114,
2012-04,20.477,
2012-07,18.158,
2012-10,16.841,
2013-01,17.304,
2013-04,16.607,
2013-07,15.889,
2013-10,15.333,
2014-01,15.181,
2014-04,14.393,
2014-07,14.302,
