"",BBK01.OEHB14G,BBK01.OEHB14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:07,
2002-01,2.894,
2002-04,2.907,
2002-07,2.744,
2002-10,2.709,
2003-01,2.619,
2003-04,2.491,
2003-07,2.406,
2003-10,2.337,
2004-01,2.341,
2004-04,2.368,
2004-07,2.330,
2004-10,2.335,
2005-01,2.253,
2005-04,2.196,
2005-07,2.140,
2005-10,2.130,
2006-01,2.162,
2006-04,2.164,
2006-07,2.105,
2006-10,2.071,
2007-01,2.026,
2007-04,2.041,
2007-07,1.983,
2007-10,2.017,
2008-01,1.992,
2008-04,1.971,
2008-07,1.939,
2008-10,1.971,
2009-01,2.159,
2009-04,2.149,
2009-07,2.088,
2009-10,2.038,
2010-01,2.138,
2010-04,2.123,
2010-07,2.029,
2010-10,1.941,
2011-01,1.950,
2011-04,1.974,
2011-07,1.933,
2011-10,1.866,
2012-01,1.880,
2012-04,1.877,
2012-07,1.838,
2012-10,1.804,
2013-01,1.811,
2013-04,1.791,
2013-07,1.739,
2013-10,1.673,
2014-01,1.689,
2014-04,1.700,
2014-07,1.657,
