"",BBK01.OEAC52H,BBK01.OEAC52H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:11,
2002-01,3.477,
2002-04,3.627,
2002-07,3.575,
2002-10,3.540,
2003-01,3.428,
2003-04,3.368,
2003-07,3.298,
2003-10,3.122,
2004-01,3.010,
2004-04,2.975,
2004-07,2.921,
2004-10,3.367,
2005-01,4.038,
2005-04,4.087,
2005-07,4.104,
2005-10,4.065,
2006-01,4.099,
2006-04,4.231,
2006-07,4.184,
2006-10,4.391,
2007-01,4.291,
2007-04,4.408,
2007-07,4.347,
2007-10,4.378,
2008-01,4.339,
2008-04,4.516,
2008-07,4.757,
2008-10,4.818,
2009-01,4.677,
2009-04,4.511,
2009-07,4.584,
2009-10,4.572,
2010-01,4.731,
2010-04,4.959,
2010-07,4.763,
2010-10,4.736,
2011-01,4.546,
2011-04,4.502,
2011-07,4.740,
2011-10,5.004,
2012-01,4.833,
2012-04,5.141,
2012-07,5.137,
2012-10,5.037,
2013-01,4.994,
2013-04,4.926,
2013-07,4.615,
2013-10,4.319,
2014-01,4.335,
2014-04,4.290,
2014-07,4.151,
