"",BBK01.OEHM07V,BBK01.OEHM07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:07,
2002-01,0.005,
2002-04,0.005,
2002-07,0.005,
2002-10,0.006,
2003-01,0.006,
2003-04,0.006,
2003-07,0.003,
2003-10,0.003,
2004-01,0.008,
2004-04,0.008,
2004-07,0.007,
2004-10,0.008,
2005-01,0.008,
2005-04,0.009,
2005-07,0.007,
2005-10,0.007,
2006-01,0.008,
2006-04,0.009,
2006-07,0.009,
2006-10,0.008,
2007-01,0.009,
2007-04,0.008,
2007-07,0.008,
2007-10,0.005,
2008-01,0.005,
2008-04,0.005,
2008-07,0.004,
2008-10,0.011,
2009-01,0.021,
2009-04,0.033,
2009-07,0.048,
2009-10,0.053,
2010-01,0.052,
2010-04,0.053,
2010-07,0.054,
2010-10,0.054,
2011-01,0.056,
2011-04,0.054,
2011-07,0.052,
2011-10,0.053,
2012-01,0.058,
2012-04,0.194,
2012-07,0.197,
2012-10,0.212,
2013-01,0.214,
2013-04,0.221,
2013-07,0.222,
2013-10,0.224,
2014-01,0.223,
2014-04,0.216,
2014-07,0.215,
