"",BBDA1.M.DE.Y.EX.S.A.E1.A.V.ABA.A,BBDA1.M.DE.Y.EX.S.A.E1.A.V.ABA.A_FLAGS
"","Germany / Exports / At current prices, flows / Aggregate / all goods / European countries excluding Germany / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:20,
1993-01,18.83,
1993-02,20.65,
1993-03,19.54,
1993-04,19.51,
1993-05,19.72,
1993-06,18.93,
1993-07,19.32,
1993-08,19.74,
1993-09,20.19,
1993-10,19.71,
1993-11,19.97,
1993-12,20.47,
1994-01,19.69,
1994-02,20.12,
1994-03,21.20,
1994-04,20.82,
1994-05,21.63,
1994-06,21.79,
1994-07,21.23,
1994-08,22.45,
1994-09,22.07,
1994-10,22.09,
1994-11,21.63,
1994-12,22.95,
1995-01,23.00,
1995-02,22.95,
1995-03,22.91,
1995-04,23.34,
1995-05,23.36,
1995-06,24.19,
1995-07,23.08,
1995-08,23.38,
1995-09,25.49,
1995-10,23.74,
1995-11,23.29,
1995-12,24.52,
1996-01,24.91,
1996-02,23.61,
1996-03,23.94,
1996-04,24.25,
1996-05,24.39,
1996-06,23.95,
1996-07,25.77,
1996-08,24.37,
1996-09,24.88,
1996-10,25.86,
1996-11,25.37,
1996-12,26.54,
1997-01,25.10,
1997-02,26.09,
1997-03,26.56,
1997-04,25.16,
1997-05,27.82,
1997-06,27.78,
1997-07,28.48,
1997-08,28.23,
1997-09,29.05,
1997-10,28.49,
1997-11,29.02,
1997-12,30.22,
1998-01,29.94,
1998-02,29.92,
1998-03,29.06,
1998-04,31.40,
1998-05,30.25,
1998-06,30.92,
1998-07,31.92,
1998-08,29.56,
1998-09,29.36,
1998-10,30.14,
1998-11,30.02,
1998-12,29.13,
1999-01,29.44,
1999-02,30.20,
1999-03,28.97,
1999-04,30.13,
1999-05,30.53,
1999-06,31.49,
1999-07,32.02,
1999-08,31.80,
1999-09,32.10,
1999-10,31.48,
1999-11,34.08,
1999-12,32.34,
2000-01,33.34,
2000-02,33.77,
2000-03,35.14,
2000-04,34.82,
2000-05,36.52,
2000-06,36.15,
2000-07,36.98,
2000-08,36.45,
2000-09,36.85,
2000-10,39.80,
2000-11,39.03,
2000-12,38.13,
2001-01,38.30,
2001-02,39.25,
2001-03,37.69,
2001-04,38.72,
2001-05,38.36,
2001-06,38.73,
2001-07,39.57,
2001-08,39.93,
2001-09,37.76,
2001-10,38.67,
2001-11,37.49,
2001-12,38.66,
2002-01,37.18,
2002-02,38.81,
2002-03,38.12,
2002-04,38.80,
2002-05,37.18,
2002-06,40.65,
2002-07,38.67,
2002-08,40.96,
2002-09,40.78,
2002-10,39.82,
2002-11,41.20,
2002-12,40.54,
2003-01,39.79,
2003-02,40.32,
2003-03,40.41,
2003-04,39.13,
2003-05,39.87,
2003-06,40.37,
2003-07,41.04,
2003-08,41.27,
2003-09,42.95,
2003-10,40.90,
2003-11,42.73,
2003-12,43.49,
2004-01,42.97,
2004-02,43.06,
2004-03,43.64,
2004-04,44.54,
2004-05,46.19,
2004-06,44.40,
2004-07,45.41,
2004-08,45.27,
2004-09,45.22,
2004-10,45.95,
2004-11,47.39,
2004-12,44.30,
2005-01,47.19,
2005-02,45.88,
2005-03,46.26,
2005-04,46.28,
2005-05,48.79,
2005-06,48.08,
2005-07,48.22,
2005-08,49.04,
2005-09,49.96,
2005-10,49.72,
2005-11,50.23,
2005-12,50.19,
2006-01,52.17,
2006-02,52.44,
2006-03,51.49,
2006-04,53.51,
2006-05,53.25,
2006-06,53.89,
2006-07,55.09,
2006-08,54.46,
2006-09,57.14,
2006-10,58.62,
2006-11,57.77,
2006-12,57.80,
2007-01,59.11,
2007-02,59.63,
2007-03,58.88,
2007-04,60.28,
2007-05,60.11,
2007-06,60.32,
2007-07,60.94,
2007-08,61.36,
2007-09,61.64,
2007-10,62.25,
2007-11,62.28,
2007-12,62.19,
2008-01,63.49,
2008-02,62.62,
2008-03,62.13,
2008-04,63.15,
2008-05,61.54,
2008-06,62.80,
2008-07,62.75,
2008-08,62.39,
2008-09,62.23,
2008-10,61.48,
2008-11,54.53,
2008-12,52.20,
2009-01,49.98,
2009-02,47.96,
2009-03,48.07,
2009-04,46.71,
2009-05,46.00,
2009-06,47.31,
2009-07,49.12,
2009-08,48.66,
2009-09,50.67,
2009-10,49.58,
2009-11,49.79,
2009-12,51.19,
2010-01,50.06,
2010-02,51.36,
2010-03,54.67,
2010-04,53.12,
2010-05,55.68,
2010-06,57.67,
2010-07,56.47,
2010-08,56.83,
2010-09,58.04,
2010-10,58.69,
2010-11,59.04,
2010-12,60.20,
2011-01,60.17,
2011-02,60.88,
2011-03,64.45,
2011-04,61.76,
2011-05,63.10,
2011-06,63.46,
2011-07,61.58,
2011-08,64.09,
2011-09,64.91,
2011-10,61.12,
2011-11,63.51,
2011-12,60.43,
2012-01,61.84,
2012-02,62.93,
2012-03,63.04,
2012-04,61.72,
2012-05,65.14,
2012-06,62.66,
2012-07,63.11,
2012-08,64.08,
2012-09,62.51,
2012-10,62.99,
2012-11,61.42,
2012-12,61.05,
2013-01,62.97,
2013-02,62.15,
2013-03,62.20,
2013-04,62.09,
2013-05,61.97,
2013-06,62.73,
2013-07,62.02,
2013-08,62.32,
2013-09,63.19,
2013-10,63.62,
2013-11,63.01,
2013-12,62.60,
2014-01,64.90,
2014-02,63.85,
2014-03,62.41,
2014-04,64.10,
2014-05,63.06,
2014-06,63.83,
2014-07,66.21,
2014-08,63.42,
2014-09,65.11,
2014-10,65.21,
2014-11,65.12,
2014-12,66.23,
