"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.FI.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.FI.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Finland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:17,
2009-09,2581,
2009-10,2316,
2009-11,2340,
2009-12,2476,
2010-01,2763,
2010-02,2793,
2010-03,3098,
2010-04,2707,
2010-05,2574,
2010-06,2419,
2010-07,2527,
2010-08,2500,
2010-09,2805,
2010-10,2928,
2010-11,2829,
2010-12,3115,
2011-01,3077,
2011-02,3069,
2011-03,3004,
2011-04,2963,
2011-05,2739,
2011-06,2300,
2011-07,2071,
2011-08,1903,
2011-09,1731,
2011-10,1855,
2011-11,1761,
2011-12,1697,
2012-01,1819,
2012-02,1976,
2012-03,1944,
2012-04,1719,
2012-05,1533,
2012-06,1533,
2012-07,1604,
2012-08,1588,
2012-09,1604,
2012-10,1626,
2012-11,1699,
2012-12,1756,
2013-01,1901,
2013-02,1941,
2013-03,1798,
2013-04,1894,
2013-05,1944,
2013-06,1878,
2013-07,1991,
2013-08,2025,
2013-09,2097,
2013-10,2230,
2013-11,2346,
2013-12,2388,
2014-01,2291,
2014-02,2405,
2014-03,2351,
2014-04,2388,
2014-05,2469,
2014-06,2399,
2014-07,2424,
2014-08,2493,
2014-09,2710,
2014-10,2732,
2014-11,2849,
